venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
21,芦屋,1,1,6.82,36.97,7.91,7.75
21,芦屋,1,2,6.8,37.44,7.96,7.77
21,芦屋,1,3,6.77,37.26,7.83,7.76
21,芦屋,1,4,6.73,36.88,7.88,7.72
21,芦屋,1,5,6.75,37.92,8.17,7.75
21,芦屋,1,6,6.79,37.77,8.21,7.75
21,芦屋,2,1,6.79,37.18,7.97,7.74
21,芦屋,2,2,6.73,36.69,7.74,7.71
21,芦屋,2,3,6.72,37.18,8.07,7.69
21,芦屋,2,4,6.83,36.81,7.79,7.75
21,芦屋,2,5,6.77,37.12,7.94,7.78
21,芦屋,2,6,6.75,37.08,7.94,7.78
21,芦屋,3,1,6.8,36.67,7.7,7.74
21,芦屋,3,2,6.78,37.23,8.17,7.68
21,芦屋,3,3,6.8,37.75,8.21,7.86
21,芦屋,3,4,6.81,37.67,8.11,7.73
21,芦屋,3,5,6.84,36.93,7.86,7.81
21,芦屋,3,6,6.83,36.9,7.74,7.62
4,平和島,1,1,7.04,36.78,5.53,7.43
4,平和島,1,2,6.98,37.80,5.7,7.5
4,平和島,1,3,7.11,37.53,5.67,7.5
4,平和島,1,4,7.12,37.79,5.6,7.47
4,平和島,1,5,7.15,38.19,5.75,7.57
4,平和島,1,6,7.02,37.33,5.6,7.43
4,平和島,2,1,7.1,37.14,5.87,7.33
4,平和島,2,2,7.07,37.50,5.73,7.47
4,平和島,2,3,7.11,37.75,5.81,7.5
4,平和島,2,4,7.05,37.56,5.64,7.43
4,平和島,2,5,6.97,37.38,5.73,7.4
4,平和島,2,6,7.03,37.73,5.83,7.4
4,平和島,3,1,6.94,37.90,5.6,7.53
4,平和島,3,2,6.93,37.34,5.46,7.53
4,平和島,3,3,6.91,37.77,5.6,7.5
4,平和島,3,4,6.96,37.33,5.53,7.5
4,平和島,3,5,6.95,37.87,5.68,7.4
4,平和島,3,6,6.96,37.31,5.63,7.5
4,平和島,4,1,6.88,37.37,5.35,7.42
4,平和島,4,2,6.92,37.64,5.53,7.39
4,平和島,4,3,6.93,37.46,5.5,7.37
4,平和島,4,4,7.02,37.87,5.67,7.44
4,平和島,4,5,7.19,37.99,5.63,7.57
4,平和島,4,6,7.03,37.42,5.87,7.37
4,平和島,5,1,6.92,36.97,5.33,7.43
4,平和島,5,2,7.01,37.50,5.68,7.53
4,平和島,5,3,7.06,38.06,5.67,7.5
4,平和島,5,4,6.97,37.89,5.61,7.53
4,平和島,5,5,6.99,37.80,5.77,7.46
4,平和島,5,6,7.06,38.44,5.52,7.45
4,平和島,6,1,6.92,37.27,5.53,7.57
4,平和島,6,2,6.94,37.80,5.67,7.5
4,平和島,6,3,6.97,38.00,5.9,7.42
4,平和島,6,4,7.03,37.87,5.53,7.52
4,平和島,6,5,7.04,37.83,5.77,7.49
4,平和島,6,6,7.06,37.90,5.73,7.53
9,津,1,1,7.11,38.67,5.5,9.0
9,津,1,2,6.96,37.97,4.87,8.93
9,津,1,3,6.98,38.27,5.07,8.8
9,津,1,4,7.09,38.71,5.09,9.1
9,津,1,5,7.04,38.10,4.9,9.17
9,津,1,6,7.09,38.13,6.1,8.9
9,津,2,1,7.02,--.--,4.77,8.9
9,津,2,2,6.98,--.--,4.87,8.97
9,津,2,3,6.98,--.--,5.07,9.0
9,津,2,4,6.99,--.--,4.6,9.1
9,津,2,5,6.85,--.--,4.9,8.93
9,津,2,6,6.9,--.--,5.13,8.9
9,津,3,1,6.98,--.--,4.4,9.07
9,津,3,2,6.91,--.--,4.54,8.83
9,津,3,3,6.97,--.--,4.43,8.97
9,津,3,4,6.96,--.--,4.63,8.7
9,津,3,5,6.94,--.--,4.6,8.73
9,津,3,6,6.87,--.--,4.7,8.87
9,津,4,1,6.95,--.--,4.16,8.87
9,津,4,2,6.85,--.--,4.37,8.73
9,津,4,3,7.01,--.--,4.57,8.77
9,津,4,4,6.88,--.--,4.53,8.63
9,津,4,5,6.97,--.--,4.7,8.8
9,津,4,6,7.04,--.--,4.63,8.83
9,津,5,1,6.98,--.--,4.53,8.81
9,津,5,2,6.89,--.--,4.7,8.67
9,津,5,3,6.96,--.--,4.7,8.67
9,津,5,4,6.93,--.--,4.53,8.6
9,津,5,5,6.86,--.--,4.73,8.6
9,津,5,6,6.88,--.--,4.7,8.5
9,津,6,1,6.9,--.--,4.2,9.03
9,津,6,2,6.98,--.--,4.57,8.75
9,津,6,3,6.93,--.--,4.4,8.8
9,津,6,4,6.81,--.--,4.77,8.8
9,津,6,5,6.98,--.--,4.5,8.77
9,津,6,6,6.89,--.--,4.63,8.67
16,児島,1,1,6.87,36.80,5.97,6.53
16,児島,1,2,6.89,37.30,6.13,6.63
16,児島,1,3,6.91,37.47,5.97,6.77
16,児島,1,4,6.85,37.33,5.7,6.87
16,児島,1,5,6.88,37.37,5.63,6.83
16,児島,1,6,6.9,37.03,5.93,6.77
16,児島,2,1,6.93,37.43,5.7,6.92
16,児島,2,2,6.92,38.93,5.93,6.8
16,児島,2,3,6.87,38.10,5.9,6.7
16,児島,2,4,6.83,38.67,5.9,6.87
16,児島,2,5,6.81,37.77,5.67,6.93
16,児島,2,6,6.96,37.87,6.07,7.0
16,児島,3,1,6.89,37.17,5.87,6.57
16,児島,3,2,6.93,37.87,5.73,6.87
16,児島,3,3,6.86,37.60,5.67,6.77
16,児島,3,4,6.99,37.87,5.53,6.83
16,児島,3,5,6.91,37.30,6.0,6.6
16,児島,3,6,7.0,37.67,5.73,6.83
16,児島,4,1,6.87,37.23,6.17,6.63
16,児島,4,2,6.77,38.20,5.83,6.9
16,児島,4,3,6.82,37.77,5.8,6.87
16,児島,4,4,6.98,38.03,5.53,6.9
16,児島,4,5,6.91,38.10,5.9,6.87
16,児島,4,6,6.92,37.40,5.7,6.83
16,児島,5,1,6.95,37.47,6.07,6.73
16,児島,5,2,6.88,37.70,5.93,6.87
16,児島,5,3,6.97,37.43,5.8,6.87
16,児島,5,4,6.93,37.83,5.67,6.87
16,児島,5,5,6.86,37.37,5.57,6.73
16,児島,5,6,7.08,38.00,5.67,7.03
16,児島,6,1,6.9,37.37,6.3,6.6
16,児島,6,2,6.88,37.77,5.87,6.93
16,児島,6,3,6.91,38.57,5.77,6.97
16,児島,6,4,6.84,38.40,5.92,6.93
16,児島,6,5,6.87,37.87,5.73,6.87
16,児島,6,6,6.94,38.23,5.93,6.73
17,宮島,1,1,6.8,36.84,5.8,7.1
17,宮島,1,2,6.81,37.26,5.71,7.13
17,宮島,1,3,6.82,37.68,5.42,7.12
17,宮島,1,4,6.82,37.88,5.75,7.31
17,宮島,1,5,6.86,37.43,5.57,7.3
17,宮島,1,6,6.8,37.60,5.67,7.26
17,宮島,2,1,6.72,37.61,5.64,7.13
17,宮島,2,2,6.7,37.92,5.72,7.21
17,宮島,2,3,6.7,37.52,5.98,7.25
17,宮島,2,4,6.79,37.59,5.94,7.19
17,宮島,2,5,6.74,37.75,5.51,7.26
17,宮島,2,6,6.7,37.52,5.69,7.14
17,宮島,3,1,6.71,37.36,5.96,7.1
17,宮島,3,2,6.7,37.30,5.82,7.26
17,宮島,3,3,6.66,37.66,5.86,7.17
17,宮島,3,4,6.83,37.47,5.63,7.23
17,宮島,3,5,6.67,36.99,5.54,7.16
17,宮島,3,6,6.71,37.43,5.89,7.15
17,宮島,4,1,6.71,37.29,5.94,7.29
17,宮島,4,2,6.74,37.61,5.86,7.22
17,宮島,4,3,6.75,37.38,5.72,7.13
17,宮島,4,4,6.82,37.43,5.87,7.33
17,宮島,4,5,6.77,38.89,6.08,7.33
17,宮島,4,6,6.76,37.50,6.57,7.1
17,宮島,5,1,6.75,37.12,6.0,7.06
17,宮島,5,2,6.77,38.43,6.26,7.09
17,宮島,5,3,6.81,37.37,6.05,7.26
17,宮島,5,4,6.82,37.30,5.66,7.22
17,宮島,5,5,6.83,37.75,6.12,7.28
17,宮島,5,6,6.83,37.17,5.97,7.17
17,宮島,6,1,6.68,37.27,5.86,7.09
