venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
10,三国,1,1,6.69,36.18,5.15,6.63
10,三国,1,2,6.7,37.35,5.43,6.75
10,三国,1,3,6.75,37.27,5.57,6.65
10,三国,1,4,6.72,38.0,5.87,6.72
10,三国,1,5,6.76,38.22,5.9,6.72
10,三国,1,6,6.75,37.38,5.65,6.67
10,三国,2,1,6.62,37.25,5.72,6.6
10,三国,2,2,6.7,36.88,5.4,6.6
10,三国,2,3,6.68,37.32,5.58,6.6
10,三国,2,4,6.79,37.3,5.52,6.68
10,三国,2,5,6.66,36.9,5.47,6.67
10,三国,2,6,6.71,37.82,5.68,6.7
21,芦屋,1,1,6.71,36.56,7.73,7.57
21,芦屋,1,2,6.78,36.47,7.85,7.71
21,芦屋,1,3,6.83,37.05,7.96,7.79
21,芦屋,1,4,6.85,37.01,7.9,7.75
21,芦屋,1,5,6.81,36.65,7.67,7.74
21,芦屋,1,6,6.77,37.0,8.07,7.68
21,芦屋,2,1,6.72,36.46,7.68,7.58
21,芦屋,2,2,6.73,36.42,7.83,7.63
21,芦屋,2,3,6.73,36.62,7.66,7.67
21,芦屋,2,4,6.73,36.66,7.75,7.61
21,芦屋,2,5,6.73,37.19,7.81,7.72
21,芦屋,2,6,6.73,36.45,7.68,7.64
21,芦屋,3,1,6.76,36.56,7.76,7.7
21,芦屋,3,2,6.81,36.8,7.96,7.66
21,芦屋,3,3,6.75,36.78,7.92,7.66
21,芦屋,3,4,6.79,36.89,7.86,7.73
21,芦屋,3,5,6.74,36.7,7.67,7.72
21,芦屋,3,6,6.73,36.97,7.99,7.62
10,三国,3,1,6.73,37.25,5.48,6.77
10,三国,3,2,6.69,37.73,5.77,6.78
10,三国,3,3,6.72,37.5,5.55,6.77
10,三国,3,4,6.7,37.2,5.82,6.65
10,三国,3,5,6.66,37.5,5.9,6.75
10,三国,3,6,6.75,37.37,5.7,6.78
21,芦屋,4,1,6.69,36.48,7.77,7.65
21,芦屋,4,2,6.74,36.34,7.67,7.62
21,芦屋,4,3,6.77,36.73,7.84,7.75
21,芦屋,4,4,6.83,37.25,8.17,7.72
21,芦屋,4,5,6.7,36.92,7.97,7.6
21,芦屋,4,6,6.84,37.64,8.15,7.76
10,三国,4,1,6.7,36.78,5.65,6.68
10,三国,4,2,6.79,37.33,5.67,6.73
10,三国,4,3,6.66,37.35,5.83,6.7
10,三国,4,4,6.69,37.32,5.8,6.75
10,三国,4,5,6.81,38.83,6.1,6.88
10,三国,4,6,6.65,37.92,5.98,6.78
21,芦屋,5,1,6.71,36.11,7.57,7.67
21,芦屋,5,2,6.87,37.06,7.91,7.84
21,芦屋,5,3,6.81,37.28,7.88,7.77
21,芦屋,5,4,6.86,37.16,8.16,7.76
21,芦屋,5,5,6.8,37.13,8.02,7.78
21,芦屋,5,6,6.85,37.27,8.1,7.78
9,津,1,1,6.84,37.4,4.47,8.67
9,津,1,2,6.87,37.1,4.57,8.47
9,津,1,3,6.88,37.27,4.57,8.63
9,津,1,4,6.92,37.5,4.73,8.5
9,津,1,5,6.87,36.97,4.73,8.44
9,津,1,6,6.88,37.6,4.73,8.5
10,三国,5,1,6.78,36.9,5.65,6.77
10,三国,5,2,6.73,37.3,5.68,6.87
10,三国,5,3,6.79,36.92,5.55,6.85
10,三国,5,4,6.88,37.98,6.0,6.92
10,三国,5,5,6.86,37.85,6.27,6.78
10,三国,5,6,6.82,37.52,5.87,6.88
13,尼崎,1,1,6.88,36.9,11.43,
13,尼崎,1,2,6.84,37.06,11.61,
13,尼崎,1,3,6.82,36.77,11.5,
13,尼崎,1,4,6.83,37.59,11.66,
13,尼崎,1,5,6.81,37.51,11.65,
13,尼崎,1,6,6.85,38.28,12.06,
17,宮島,1,1,6.78,36.8,5.51,7.25
17,宮島,1,2,6.79,37.37,5.34,7.33
17,宮島,1,3,6.79,37.47,5.79,7.3
17,宮島,1,4,6.81,37.3,5.47,7.34
17,宮島,1,5,6.72,37.09,5.64,7.19
17,宮島,1,6,6.74,36.87,5.78,7.16
16,児島,1,1,6.73,36.7,5.47,6.63
16,児島,1,2,6.78,37.63,5.97,6.87
16,児島,1,3,6.77,37.1,5.7,6.87
16,児島,1,4,6.83,37.37,5.63,6.93
16,児島,1,5,6.79,38.23,5.87,6.83
16,児島,1,6,6.86,37.57,5.73,6.8
21,芦屋,6,1,6.74,36.58,7.84,7.66
21,芦屋,6,2,6.81,36.48,7.73,7.78
21,芦屋,6,3,6.78,36.37,7.68,7.65
21,芦屋,6,4,6.8,36.88,7.95,7.66
21,芦屋,6,5,6.78,37.02,7.93,7.79
21,芦屋,6,6,6.79,36.84,7.72,7.71
4,平和島,1,1,6.71,36.37,5.4,7.39
4,平和島,1,2,6.79,37.29,5.77,7.33
4,平和島,1,3,6.71,37.6,5.7,7.42
4,平和島,1,4,6.83,37.22,5.8,7.44
