venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
18,徳山,1,1,6.98,37.74,11.67,
18,徳山,1,2,7.06,38.59,11.93,
18,徳山,1,3,7.06,38.32,11.8,
18,徳山,1,4,7.01,38.95,12.34,
18,徳山,1,5,6.98,38.14,11.73,
18,徳山,1,6,7.05,38.65,12.05,
21,芦屋,1,1,7.01,37.17,7.82,8.0
21,芦屋,1,2,7.04,37.89,8.32,8.02
21,芦屋,1,3,7.1,37.61,8.06,8.15
21,芦屋,1,4,6.97,37.8,8.44,7.96
21,芦屋,1,5,7.04,37.17,8.17,8.08
21,芦屋,1,6,7.14,37.62,8.17,8.1
23,唐津,1,1,6.67,36.8,5.37,7.77
23,唐津,1,2,6.78,37.03,5.47,7.82
23,唐津,1,3,6.72,37.73,5.71,7.86
23,唐津,1,4,6.72,37.5,5.4,7.87
23,唐津,1,5,6.75,37.91,5.6,7.73
23,唐津,1,6,6.7,37.53,5.7,7.9
18,徳山,2,1,6.97,38.05,11.98,
18,徳山,2,2,6.96,37.84,11.59,
18,徳山,2,3,6.97,38.19,11.87,
18,徳山,2,4,6.99,38.3,11.85,
18,徳山,2,5,6.99,37.86,11.7,
18,徳山,2,6,6.96,38.03,11.85,
21,芦屋,2,1,7.14,38.16,8.34,8.16
21,芦屋,2,2,6.98,37.79,8.26,8.08
21,芦屋,2,3,7.02,38.52,8.55,8.13
21,芦屋,2,4,7.06,37.76,8.39,8.04
21,芦屋,2,5,7.05,37.99,8.65,8.0
21,芦屋,2,6,7.23,38.74,8.4,8.2
23,唐津,2,1,6.71,37.32,5.37,7.78
23,唐津,2,2,6.72,38.17,5.63,7.9
23,唐津,2,3,6.74,37.28,5.47,7.7
23,唐津,2,4,6.79,37.62,5.49,7.55
23,唐津,2,5,6.75,37.53,5.54,7.72
23,唐津,2,6,6.76,37.37,5.53,7.82
18,徳山,3,1,6.97,38.04,11.76,
18,徳山,3,2,6.98,38.32,11.81,
18,徳山,3,3,6.92,39.02,12.01,
18,徳山,3,4,6.95,38.34,11.86,
18,徳山,3,5,6.94,38.63,12.14,
18,徳山,3,6,6.89,37.72,11.67,
21,芦屋,3,1,7.1,37.14,8.14,7.94
21,芦屋,3,2,7.07,37.31,8.22,8.05
21,芦屋,3,3,7.24,38.36,8.12,8.24
21,芦屋,3,4,6.99,37.6,8.25,8.12
21,芦屋,3,5,7.16,38.03,8.42,8.1
21,芦屋,3,6,7.05,37.46,8.08,7.97
23,唐津,3,1,6.71,36.4,5.03,7.84
23,唐津,3,2,6.76,37.87,5.7,7.96
23,唐津,3,3,6.72,36.97,6.03,7.62
23,唐津,3,4,6.66,37.3,5.71,7.75
23,唐津,3,5,6.74,37.31,5.39,7.72
23,唐津,3,6,6.68,37.58,5.53,7.79
