venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
18,徳山,1,1,6.86,37.17,11.55,
18,徳山,1,2,6.89,37.17,11.51,
18,徳山,1,3,6.88,37.35,11.61,
18,徳山,1,4,6.93,37.27,11.62,
18,徳山,1,5,6.91,37.54,11.62,
18,徳山,1,6,6.83,37.71,11.77,
10,三国,1,1,6.79,37.13,5.6,6.7
10,三国,1,2,6.81,37.37,5.73,6.75
10,三国,1,3,6.8,36.83,5.52,6.75
10,三国,1,4,6.85,37.7,5.83,6.78
10,三国,1,5,6.8,36.57,5.38,6.68
10,三国,1,6,6.79,37.47,5.77,6.7
18,徳山,2,1,6.82,36.71,11.26,
18,徳山,2,2,6.82,37.05,11.49,
18,徳山,2,3,6.83,37.6,11.7,
18,徳山,2,4,6.91,37.58,11.65,
18,徳山,2,5,6.91,37.83,11.74,
18,徳山,2,6,6.87,37.28,11.62,
10,三国,2,1,6.78,37.22,5.68,6.78
10,三国,2,2,6.77,37.27,5.72,6.75
10,三国,2,3,6.83,37.7,5.93,6.85
10,三国,2,4,6.88,39.18,6.23,7.0
10,三国,2,5,6.81,37.73,5.85,6.75
10,三国,2,6,6.79,37.32,5.73,6.88
18,徳山,3,1,6.9,37.34,11.67,
18,徳山,3,3,6.94,37.53,11.64,
18,徳山,3,4,6.93,37.21,11.52,
18,徳山,3,5,6.95,38.06,11.86,
18,徳山,3,6,6.97,37.88,11.7,
10,三国,3,1,6.86,36.98,5.63,6.85
10,三国,3,2,6.78,37.38,5.88,6.73
10,三国,3,3,6.89,37.68,5.83,6.93
10,三国,3,4,6.8,37.8,6.03,6.77
10,三国,3,5,6.82,37.92,6.15,6.78
10,三国,3,6,6.88,38.07,6.03,6.92
18,徳山,4,1,6.99,37.39,11.77,
18,徳山,4,2,6.85,37.87,12.06,
18,徳山,4,3,6.88,37.58,11.79,
18,徳山,4,4,6.94,37.96,12.1,
18,徳山,4,5,6.95,38.16,12.16,
18,徳山,4,6,7.03,37.96,11.93,
10,三国,4,1,6.8,36.58,5.65,6.68
10,三国,4,2,6.91,37.73,5.7,6.85
10,三国,4,3,6.87,37.43,5.72,6.83
10,三国,4,4,6.88,37.55,5.67,6.85
10,三国,4,5,6.83,37.48,6.0,6.8
