venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
23,唐津,1,1,6.71,36.57,5.17,7.8
23,唐津,1,2,6.74,37.43,5.53,7.73
23,唐津,1,3,6.74,36.93,5.33,7.77
23,唐津,1,4,6.76,37.53,5.6,7.83
23,唐津,1,5,6.77,37.17,5.2,7.77
23,唐津,1,6,6.72,37.1,5.47,7.7
18,徳山,1,1,6.72,36.87,11.41,
18,徳山,1,2,6.89,37.36,11.66,
18,徳山,1,3,6.97,37.86,11.9,
18,徳山,1,4,6.89,37.73,11.89,
18,徳山,1,5,6.96,38.45,11.88,
18,徳山,1,6,6.98,38.38,11.72,
23,唐津,2,1,6.72,36.87,5.6,7.87
23,唐津,2,2,6.64,36.83,5.6,7.7
23,唐津,2,3,6.71,37.47,5.5,7.77
23,唐津,2,4,6.72,37.59,5.63,7.53
23,唐津,2,5,6.78,37.0,5.63,7.63
23,唐津,2,6,6.78,37.0,5.43,7.83
18,徳山,2,1,6.88,37.65,11.48,
18,徳山,2,2,6.94,37.69,11.6,
18,徳山,2,3,6.97,37.97,11.77,
18,徳山,2,4,7.06,37.75,11.68,
18,徳山,2,5,6.92,38.1,11.97,
18,徳山,2,6,6.92,37.51,11.68,
23,唐津,3,1,6.75,37.33,5.4,7.76
23,唐津,3,2,6.65,37.5,5.47,7.79
23,唐津,3,3,6.7,36.8,5.5,7.9
23,唐津,3,4,6.72,37.07,6.03,7.86
23,唐津,3,5,6.69,36.82,5.51,7.78
23,唐津,3,6,6.78,37.03,5.53,7.7
18,徳山,3,1,6.95,37.3,11.58,
18,徳山,3,2,6.93,37.52,11.72,
18,徳山,3,3,6.96,37.72,11.78,
18,徳山,3,4,6.96,37.68,11.73,
18,徳山,3,5,6.91,37.65,11.76,
18,徳山,3,6,6.93,37.54,11.79,
23,唐津,4,1,6.7,37.87,5.5,7.83
23,唐津,4,2,6.72,37.73,5.83,7.83
23,唐津,4,3,6.78,37.03,5.93,7.67
23,唐津,4,4,6.75,37.06,5.59,7.87
23,唐津,4,5,6.73,37.38,5.48,7.79
23,唐津,4,6,6.69,37.34,5.53,7.74
18,徳山,4,1,6.93,38.09,12.01,
18,徳山,4,2,6.98,38.48,11.98,
18,徳山,4,3,7.05,38.3,11.6,
18,徳山,4,4,7.02,38.42,11.93,
18,徳山,4,5,6.97,38.19,11.82,
18,徳山,4,6,6.97,38.38,12.03,
23,唐津,5,1,6.73,36.67,5.13,7.8
23,唐津,5,2,6.71,37.43,5.53,7.87
23,唐津,5,3,6.69,37.47,5.53,7.87
23,唐津,5,4,6.69,37.37,5.33,7.77
23,唐津,5,5,6.66,37.3,5.63,7.77
23,唐津,5,6,6.67,37.23,5.6,7.73
18,徳山,5,1,6.87,38.02,11.86,
18,徳山,5,2,6.86,37.77,11.82,
18,徳山,5,3,6.9,37.76,11.7,
18,徳山,5,4,6.9,37.76,11.67,
18,徳山,5,5,6.94,37.89,11.65,
18,徳山,5,6,6.95,38.7,12.03,
2,戸田,1,1,6.59,36.84,5.41,7.03
2,戸田,1,2,6.73,37.83,5.6,7.07
2,戸田,1,3,6.68,37.37,5.47,7.03
2,戸田,1,4,6.87,37.22,5.38,7.17
2,戸田,1,5,6.74,37.53,5.3,7.1
2,戸田,1,6,6.72,37.98,5.38,7.03
9,津,1,1,6.68,--.--,4.67,8.57
9,津,1,2,6.72,--.--,4.5,8.25
9,津,1,3,6.75,--.--,4.53,8.33
9,津,1,4,6.78,--.--,4.5,8.37
9,津,1,5,6.78,--.--,4.31,8.53
9,津,1,6,6.82,--.--,4.53,8.47
18,徳山,6,1,6.96,38.18,11.67,
18,徳山,6,2,6.95,37.59,11.46,
18,徳山,6,3,7.0,38.20,11.83,
