venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
2,戸田,1,1,6.81,36.95,5.04,6.9
2,戸田,1,2,6.84,37.10,5.08,6.99
2,戸田,1,3,6.79,37.33,5.07,7.04
2,戸田,1,4,6.83,36.87,4.9,6.95
2,戸田,1,5,6.94,37.59,5.58,6.96
2,戸田,1,6,6.78,37.60,5.45,7.07
2,戸田,2,1,6.79,37.11,5.41,7.2
2,戸田,2,2,6.77,36.90,5.6,7.0
2,戸田,2,3,6.78,37.29,5.61,6.94
2,戸田,2,4,6.92,37.40,5.52,7.07
2,戸田,2,5,6.85,36.84,5.43,6.9
2,戸田,2,6,6.8,37.91,5.67,6.99
2,戸田,3,1,6.81,37.02,5.27,6.93
2,戸田,3,2,6.83,37.48,5.27,7.01
2,戸田,3,3,6.87,37.47,5.38,7.06
2,戸田,3,4,6.91,37.55,6.57,6.91
2,戸田,3,5,6.95,37.89,5.23,7.2
2,戸田,3,6,6.84,37.27,5.26,7.02
2,戸田,4,1,6.83,36.79,5.47,7.0
2,戸田,4,2,6.83,37.48,5.58,7.16
2,戸田,4,3,6.91,37.88,5.55,7.13
2,戸田,4,4,6.87,37.89,5.72,7.1
2,戸田,4,5,6.72,37.24,5.48,7.09
2,戸田,4,6,6.89,37.42,5.33,7.07
2,戸田,5,1,6.77,36.62,5.38,6.94
2,戸田,5,2,6.77,36.88,5.32,7.03
2,戸田,5,3,6.78,37.26,5.16,7.03
2,戸田,5,4,6.68,37.37,5.18,7.12
2,戸田,5,5,6.73,36.94,5.27,7.07
2,戸田,5,6,6.81,36.99,5.11,7.07
2,戸田,6,1,6.95,37.40,5.41,7.11
2,戸田,6,2,6.82,37.23,5.47,7.1
2,戸田,6,3,6.88,37.14,5.34,7.06
2,戸田,6,4,6.93,37.46,5.68,6.97
2,戸田,6,5,6.95,37.95,5.67,7.2
2,戸田,6,6,6.92,37.67,5.4,7.1
2,戸田,7,1,6.78,37.21,5.6,6.84
2,戸田,7,2,6.77,37.13,5.23,7.03
2,戸田,7,3,6.8,37.53,5.3,7.17
2,戸田,7,4,6.75,38.03,5.81,6.96
2,戸田,7,5,6.89,37.50,5.23,7.03
2,戸田,7,6,6.81,37.13,5.04,6.96
2,戸田,8,1,6.86,37.46,5.28,6.97
2,戸田,8,2,6.88,37.40,5.57,6.97
2,戸田,8,3,6.8,37.24,5.34,7.0
2,戸田,8,4,6.9,37.57,5.45,7.12
2,戸田,8,5,6.82,37.59,5.87,7.0
2,戸田,8,6,6.98,37.52,5.43,7.07
2,戸田,9,1,6.95,37.45,5.48,7.03
2,戸田,9,2,6.89,37.26,5.54,7.1
2,戸田,9,3,6.78,37.27,5.3,6.97
2,戸田,9,4,6.82,37.34,5.14,6.96
2,戸田,9,5,6.79,37.87,5.43,7.0
2,戸田,9,6,6.86,37.88,5.48,7.1
6,浜名湖,1,1,6.7,36.46,5.13,7.92
6,浜名湖,1,2,6.68,36.52,5.1,7.93
6,浜名湖,1,3,6.73,37.48,5.47,8.03
6,浜名湖,1,4,6.64,38.55,6.24,7.81
6,浜名湖,1,5,6.66,37.61,5.57,7.83
