venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
23,唐津,1,1,6.77,36.47,5.17,7.93
23,唐津,1,2,6.81,36.7,5.43,7.83
23,唐津,1,3,6.79,37.3,5.76,7.85
23,唐津,1,4,6.8,37.05,5.69,7.69
23,唐津,1,5,6.8,37.1,5.73,7.86
23,唐津,1,6,6.83,37.2,5.62,7.7
23,唐津,2,1,6.86,36.83,5.4,7.85
23,唐津,2,2,6.84,36.59,5.43,7.86
23,唐津,2,3,6.78,37.13,5.6,8.0
23,唐津,2,4,6.87,36.93,5.67,7.8
23,唐津,2,5,6.8,37.37,5.7,7.96
23,唐津,2,6,6.86,37.09,5.65,8.08
23,唐津,3,1,6.92,37.37,5.7,8.0
23,唐津,3,2,6.96,37.08,5.53,7.98
23,唐津,3,3,6.89,36.98,5.57,8.03
23,唐津,3,4,6.76,37.2,5.57,7.88
23,唐津,3,5,6.9,37.67,5.67,7.87
23,唐津,3,6,6.86,38.03,5.78,7.95
23,唐津,4,1,6.74,36.92,5.41,7.83
23,唐津,4,2,6.81,36.87,5.32,7.87
23,唐津,4,3,6.72,37.27,5.37,7.79
23,唐津,4,4,6.82,36.97,5.43,7.84
23,唐津,4,5,6.81,37.1,5.74,7.74
23,唐津,4,6,6.73,37.3,5.97,7.78
23,唐津,5,1,6.86,36.93,5.53,7.82
23,唐津,5,2,6.75,36.63,5.9,7.83
23,唐津,5,3,6.76,36.77,5.53,7.76
23,唐津,5,4,6.82,37.37,5.8,7.75
23,唐津,5,5,6.79,36.73,5.6,7.79
23,唐津,5,6,6.78,37.17,6.23,7.84
23,唐津,6,1,6.78,36.87,5.57,7.9
23,唐津,6,2,6.8,36.74,5.47,7.84
23,唐津,6,3,6.86,36.9,5.63,7.76
23,唐津,6,4,6.76,37.1,5.79,7.85
23,唐津,6,5,6.91,37.17,5.6,7.87
23,唐津,6,6,6.85,37.0,5.42,7.8
23,唐津,7,1,6.87,37.51,5.47,7.93
23,唐津,7,2,6.84,37.53,5.9,7.83
23,唐津,7,3,6.76,37.77,5.73,7.87
23,唐津,7,4,6.85,37.37,6.17,7.85
23,唐津,7,5,6.84,37.08,6.0,7.97
23,唐津,7,6,6.85,37.37,6.03,7.9
23,唐津,8,1,6.76,37.4,5.63,7.96
23,唐津,8,2,6.85,37.6,5.83,8.2
23,唐津,8,3,6.84,37.73,5.67,7.87
23,唐津,8,4,6.91,37.63,5.9,7.98
23,唐津,8,5,6.85,37.27,5.79,7.84
23,唐津,8,6,6.74,37.18,6.29,7.8
23,唐津,9,1,6.8,36.6,5.57,7.88
23,唐津,9,2,6.83,37.32,5.48,7.95
23,唐津,9,3,6.81,37.3,5.7,7.82
23,唐津,9,4,6.8,37.29,5.77,7.84
23,唐津,9,5,6.87,37.43,5.87,7.86
23,唐津,9,6,6.8,38.07,5.84,7.79
23,唐津,10,1,6.79,36.68,5.75,7.93
23,唐津,10,2,6.82,37.0,5.67,7.87
23,唐津,10,3,6.84,36.7,5.77,7.74
23,唐津,10,4,6.78,36.57,5.63,7.83
23,唐津,10,5,6.84,37.37,5.89,7.77
23,唐津,10,6,6.84,37.18,5.69,7.75
23,唐津,11,1,6.83,36.63,5.4,7.87
23,唐津,11,2,6.72,36.67,5.47,7.82
23,唐津,11,3,6.78,36.43,5.36,7.83
23,唐津,11,4,6.8,37.37,5.83,7.78
23,唐津,11,5,6.85,37.47,5.9,7.67
23,唐津,11,6,6.83,36.7,5.77,7.74
10,三国,5,1,6.76,36.58,5.48,6.68
10,三国,5,2,6.79,36.82,5.57,6.68
10,三国,5,3,6.8,37.6,5.82,6.77
10,三国,5,4,6.76,36.55,5.45,6.65
10,三国,5,5,6.83,37.63,6.07,6.77
10,三国,5,6,6.71,37.3,5.65,6.67
10,三国,6,1,6.71,36.78,5.52,6.58
10,三国,6,2,6.75,38.27,6.0,6.92
10,三国,6,3,6.74,36.92,5.57,6.72
10,三国,6,4,6.84,37.37,5.48,6.75
10,三国,6,5,6.79,37.1,5.75,6.88
10,三国,6,6,6.79,37.52,5.73,6.73
10,三国,7,1,6.74,36.9,5.62,6.77
10,三国,7,2,6.79,36.58,5.4,6.73
10,三国,7,3,6.88,37.32,5.57,6.88
10,三国,7,4,6.75,37.42,6.37,6.63
10,三国,7,5,6.89,37.53,5.92,6.85
10,三国,7,6,6.8,37.03,5.57,6.7
10,三国,8,1,6.86,37.0,5.83,6.83
10,三国,8,2,6.85,37.23,5.82,6.82
10,三国,8,3,6.89,37.57,5.85,6.83
10,三国,8,4,6.88,37.58,6.08,6.83
10,三国,8,5,6.8,37.35,5.83,6.78
10,三国,8,6,6.93,37.8,5.9,6.87
10,三国,9,1,6.82,37.12,5.73,6.77
