venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
4,平和島,1,1,6.77,38.36,5.53,7.39
4,平和島,1,2,6.83,37.44,5.53,7.36
4,平和島,1,3,6.84,38.20,5.87,7.38
4,平和島,1,4,6.81,38.40,5.82,7.40
4,平和島,1,5,6.89,37.87,5.37,7.40
4,平和島,1,6,6.84,38.09,5.77,7.39
6,浜名湖,9,1,6.94,37.21,5.26,8.22
6,浜名湖,9,2,6.91,38.07,5.23,8.15
6,浜名湖,9,3,6.84,37.82,5.34,8.13
6,浜名湖,9,4,6.98,38.11,5.39,8.10
6,浜名湖,9,5,6.92,38.64,5.59,8.01
6,浜名湖,9,6,6.90,38.38,5.53,8.01
6,浜名湖,10,1,6.85,37.11,5.30,8.17
6,浜名湖,10,2,6.82,38.10,5.46,8.10
6,浜名湖,10,3,6.77,37.58,5.56,8.00
6,浜名湖,10,4,6.96,38.77,5.81,8.28
6,浜名湖,10,5,6.85,37.78,5.49,8.09
6,浜名湖,10,6,6.87,38.09,5.54,8.13
6,浜名湖,11,1,6.82,37.25,5.11,8.10
6,浜名湖,11,2,6.91,38.15,5.45,8.16
6,浜名湖,11,3,6.92,38.32,5.22,8.00
6,浜名湖,11,4,6.91,37.79,5.27,8.01
6,浜名湖,11,5,6.81,38.02,5.25,8.01
6,浜名湖,11,6,6.84,37.84,5.57,7.96
6,浜名湖,12,1,6.93,38.02,5.46,7.97
6,浜名湖,12,2,6.96,38.21,5.60,7.98
6,浜名湖,12,3,6.82,37.75,5.89,8.20
6,浜名湖,12,4,6.89,37.63,5.61,8.13
6,浜名湖,12,5,6.95,38.04,5.52,7.83
6,浜名湖,12,6,6.98,37.62,5.75,7.90
7,蒲郡,1,1,6.72,37.74,5.07,6.31
7,蒲郡,1,2,6.86,38.86,5.00,6.40
7,蒲郡,1,3,6.81,37.30,5.07,6.28
7,蒲郡,1,4,6.73,38.27,5.03,6.30
7,蒲郡,1,5,6.77,38.76,5.43,6.30
7,蒲郡,1,6,6.78,38.36,5.33,6.30
7,蒲郡,2,1,6.81,37.70,5.07,6.37
7,蒲郡,2,2,6.77,38.84,5.35,6.56
7,蒲郡,2,3,6.82,38.43,5.10,6.53
7,蒲郡,2,4,6.75,38.30,5.27,6.36
7,蒲郡,2,5,6.80,38.43,5.02,6.43
7,蒲郡,2,6,6.74,38.09,5.07,6.31
11,びわこ,1,1,6.71,37.03,5.70,7.88
11,びわこ,1,2,6.76,37.43,5.77,7.87
11,びわこ,1,3,6.70,37.23,5.77,7.67
11,びわこ,1,4,6.75,37.07,5.73,7.82
11,びわこ,1,5,6.79,37.57,6.03,8.10
11,びわこ,1,6,6.74,37.47,5.87,7.80
11,びわこ,2,1,6.67,37.32,5.63,8.03
11,びわこ,2,2,6.80,37.53,5.93,7.77
11,びわこ,2,3,6.81,37.80,6.17,7.77
11,びわこ,2,4,6.77,37.64,6.14,7.93
11,びわこ,2,5,6.81,37.85,6.51,8.00
11,びわこ,2,6,6.84,38.02,6.68,8.43
11,びわこ,3,1,6.60,36.89,5.82,8.00
11,びわこ,3,2,6.76,37.37,5.77,7.90
11,びわこ,3,3,6.77,36.70,5.60,7.87
11,びわこ,3,4,6.81,36.71,6.13,7.73
11,びわこ,3,5,6.77,37.97,6.27,7.77
11,びわこ,3,6,6.78,37.83,6.27,7.80
11,びわこ,4,1,6.78,37.80,6.37,7.83
11,びわこ,4,2,6.67,38.30,6.00,8.00
11,びわこ,4,3,6.79,37.97,6.00,8.08
11,びわこ,4,4,6.78,38.37,6.17,7.80
11,びわこ,4,5,6.72,37.73,6.07,7.93
11,びわこ,4,6,6.61,38.03,6.20,8.07
11,びわこ,5,1,6.76,37.24,5.74,7.90
11,びわこ,5,2,6.79,37.07,5.67,7.80
11,びわこ,5,3,6.77,37.27,5.80,7.77
11,びわこ,5,4,6.77,38.03,5.93,7.97
11,びわこ,5,5,6.72,37.33,6.41,7.73
