venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
24,大村,1,1,6.96,37.43,6.5,7.5
24,大村,1,2,6.99,37.67,6.43,7.5
24,大村,1,3,7.04,38.53,6.7,7.67
24,大村,1,4,6.97,38.4,6.67,7.5
24,大村,1,5,6.96,37.73,6.4,7.5
24,大村,1,6,6.9,38.05,6.39,7.5
24,大村,2,1,6.96,37.73,6.5,7.5
24,大村,2,2,6.95,37.83,6.47,7.43
24,大村,2,3,6.97,38.53,6.77,7.47
24,大村,2,4,6.94,38.33,6.63,7.37
24,大村,2,5,6.92,37.9,6.6,7.43
24,大村,2,6,6.93,37.3,6.47,7.37
24,大村,3,1,6.99,38.17,6.63,7.59
24,大村,3,2,6.96,37.87,6.9,7.47
24,大村,3,3,6.95,37.6,6.87,7.43
24,大村,3,4,6.97,38.3,6.57,7.53
24,大村,3,5,6.91,38.1,6.63,7.5
24,大村,3,6,6.94,38.23,6.67,7.57
24,大村,4,1,7.01,37.43,6.53,7.67
24,大村,4,2,6.98,37.3,6.43,7.63
24,大村,4,3,6.94,37.77,6.53,7.5
24,大村,4,4,7.06,38.43,6.4,7.53
24,大村,4,5,6.91,39.13,7.1,7.5
24,大村,4,6,6.96,38.3,6.77,7.5
24,大村,5,1,6.93,37.8,6.5,7.4
24,大村,5,2,6.84,37.57,6.5,7.33
24,大村,5,3,6.9,36.97,6.47,7.4
24,大村,5,4,6.92,37.5,6.53,7.37
24,大村,5,5,6.98,37.83,6.33,7.4
24,大村,5,6,6.85,38.33,6.6,7.47
24,大村,6,1,6.89,36.99,6.24,7.4
24,大村,6,2,6.93,37.47,6.53,7.47
24,大村,6,3,6.93,37.4,6.33,7.44
24,大村,6,4,6.92,37.77,6.73,7.4
24,大村,6,5,6.94,37.77,6.43,7.43
24,大村,6,6,6.86,37.53,6.67,7.37
24,大村,7,1,6.89,37.45,6.47,7.39
24,大村,7,2,6.85,38.1,6.4,7.37
24,大村,7,3,6.97,37.67,6.73,7.43
24,大村,7,4,6.92,37.8,7.13,7.23
24,大村,7,5,6.95,37.73,6.7,7.37
24,大村,7,6,6.89,37.93,6.53,7.37
