venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
1,桐生,1,1,6.68,18.38,4.16,7.50
1,桐生,1,2,6.68,18.67,4.23,7.62
1,桐生,1,3,6.65,18.41,4.17,7.51
1,桐生,1,4,6.68,18.25,4.28,7.72
1,桐生,1,5,6.68,18.61,4.41,7.57
1,桐生,1,6,6.66,19.10,4.63,7.75
1,桐生,2,1,6.75,18.16,4.37,7.45
1,桐生,2,2,6.71,18.34,4.23,7.45
1,桐生,2,3,6.80,18.39,4.45,7.52
1,桐生,2,4,6.61,18.61,4.41,7.49
1,桐生,2,5,6.82,18.90,4.46,7.24
1,桐生,2,6,6.68,18.93,4.69,7.50
1,桐生,3,1,6.71,18.30,4.63,7.41
1,桐生,3,2,6.79,19.02,4.61,7.41
1,桐生,3,3,6.79,18.04,4.86,7.40
1,桐生,3,4,6.67,18.50,4.52,7.38
1,桐生,3,5,6.77,18.37,4.22,7.57
1,桐生,3,6,6.70,18.38,4.44,7.54
1,桐生,4,1,6.70,18.19,4.49,7.59
1,桐生,4,2,6.72,18.36,4.26,7.47
1,桐生,4,3,6.69,18.71,4.46,7.56
1,桐生,4,4,6.72,18.26,4.17,7.49
1,桐生,4,5,6.78,18.59,4.58,7.38
1,桐生,4,6,6.82,18.70,4.60,7.58
1,桐生,5,1,6.63,18.37,4.42,7.43
1,桐生,5,2,6.65,18.50,4.59,7.46
1,桐生,5,3,6.66,18.49,4.29,7.55
1,桐生,5,4,6.72,18.40,4.27,7.37
1,桐生,5,5,6.69,18.42,4.42,7.46
1,桐生,5,6,6.73,18.69,4.58,7.66
1,桐生,6,1,6.68,18.42,5.07,7.37
1,桐生,6,2,6.64,18.81,4.70,7.60
1,桐生,6,3,6.64,18.87,4.61,7.46
1,桐生,6,4,6.74,18.70,4.55,7.55
1,桐生,6,5,6.63,19.00,4.59,7.64
1,桐生,6,6,6.65,18.69,5.53,7.50
1,桐生,7,1,6.72,18.54,4.26,7.42
1,桐生,7,2,6.77,18.54,4.29,7.69
1,桐生,7,3,6.70,18.58,4.52,7.42
1,桐生,7,4,6.84,18.94,4.50,7.38
1,桐生,7,5,6.76,18.83,4.74,7.63
1,桐生,7,6,6.86,18.56,4.43,7.30
4,平和島,1,1,6.85,37.46,5.70,7.29
4,平和島,1,2,6.86,37.30,5.70,7.30
4,平和島,1,3,6.89,37.73,5.77,7.50
4,平和島,1,4,6.84,37.75,5.83,7.37
4,平和島,1,5,6.80,37.27,5.97,7.32
4,平和島,1,6,6.81,37.30,5.83,7.30
4,平和島,2,1,6.81,37.71,5.97,7.53
4,平和島,2,2,6.88,37.23,5.57,7.37
4,平和島,2,3,6.71,37.60,5.77,7.40
4,平和島,2,4,6.75,37.37,5.87,7.30
4,平和島,2,5,6.82,37.87,5.67,7.30
4,平和島,2,6,6.84,38.00,5.90,7.32
4,平和島,3,1,6.82,37.02,5.69,7.43
4,平和島,3,2,6.83,37.27,5.73,7.29
4,平和島,3,3,6.84,37.50,5.87,7.43
4,平和島,3,4,6.87,37.77,5.80,7.46
4,平和島,3,5,6.87,37.20,5.70,7.30
4,平和島,3,6,6.85,37.20,5.90,7.37
4,平和島,4,1,6.75,37.44,5.63,7.40
4,平和島,4,2,6.78,37.80,6.27,7.37
4,平和島,4,3,6.78,37.71,5.87,7.50
4,平和島,4,4,6.77,37.53,6.00,7.47
4,平和島,4,5,6.78,37.27,6.40,7.42
4,平和島,4,6,6.90,37.40,6.03,7.39
4,平和島,5,1,6.79,37.06,5.58,7.33
4,平和島,5,2,6.80,37.70,5.40,7.27
4,平和島,5,3,6.85,37.40,5.48,7.40
4,平和島,5,4,6.93,38.27,5.86,7.50
4,平和島,5,5,6.85,37.97,5.87,7.40
4,平和島,5,6,6.86,37.87,6.03,7.39
4,平和島,6,1,6.75,37.47,5.90,7.40
4,平和島,6,2,6.84,38.14,6.16,7.43
4,平和島,6,3,6.86,37.80,6.20,7.33
4,平和島,6,4,6.80,38.64,6.00,7.47
4,平和島,6,5,6.84,38.17,6.10,7.57
4,平和島,6,6,6.89,38.02,5.71,7.37
4,平和島,7,1,6.82,37.69,5.80,7.37
4,平和島,7,2,6.80,38.10,5.70,7.37
4,平和島,7,3,6.81,37.90,5.73,7.30
4,平和島,7,4,6.73,37.67,5.80,7.40
4,平和島,7,5,6.74,37.47,5.87,7.33
4,平和島,7,6,6.71,37.40,5.70,7.23
4,平和島,8,1,6.72,37.20,5.60,7.32
4,平和島,8,2,6.80,37.90,5.73,7.40
4,平和島,8,3,6.74,38.40,6.03,7.33
4,平和島,8,4,6.70,37.32,5.52,7.40
4,平和島,8,5,6.87,37.93,5.73,7.47
4,平和島,8,6,6.82,37.73,5.60,7.30
4,平和島,9,1,6.85,38.17,5.67,7.53
4,平和島,9,2,6.81,37.20,5.63,7.50
4,平和島,9,3,6.79,37.91,5.79,7.27
4,平和島,9,4,6.83,37.37,5.47,7.43
4,平和島,9,5,6.83,37.83,5.63,7.47
4,平和島,9,6,6.82,38.02,5.88,7.50
4,平和島,10,1,6.76,37.10,5.74,7.37
4,平和島,10,2,6.75,37.91,5.76,7.47
4,平和島,10,3,6.82,37.67,5.63,7.47
4,平和島,10,4,6.81,37.70,5.70,7.47
4,平和島,10,5,6.85,37.73,5.73,7.40
4,平和島,10,6,6.85,38.73,6.27,7.43
4,平和島,11,1,6.81,38.28,5.79,7.53
4,平和島,11,2,6.81,37.62,5.83,7.37
4,平和島,11,3,6.86,37.39,5.85,7.40
4,平和島,11,4,6.80,37.00,5.83,7.37
4,平和島,11,5,6.89,37.56,6.07,7.40
4,平和島,11,6,6.91,37.55,5.64,7.47
4,平和島,12,1,6.68,37.30,5.77,7.43
4,平和島,12,2,6.82,37.50,5.70,7.50
4,平和島,12,3,6.86,37.47,5.60,7.47
4,平和島,12,4,6.73,38.00,6.13,7.47
4,平和島,12,5,6.89,38.60,6.00,7.57
4,平和島,12,6,6.81,38.23,5.97,7.40
6,浜名湖,1,1,6.74,37.86,5.34,8.10
6,浜名湖,1,2,6.75,38.17,5.41,7.91
6,浜名湖,1,3,6.64,37.45,5.26,7.91
6,浜名湖,1,4,6.72,37.85,5.30,8.00
6,浜名湖,1,5,6.69,37.57,5.35,7.81
6,浜名湖,1,6,6.72,38.22,5.40,7.95
6,浜名湖,2,1,6.69,37.59,5.12,8.05
6,浜名湖,2,2,6.75,38.34,5.35,7.97
6,浜名湖,2,3,6.66,39.04,5.31,7.86
6,浜名湖,2,4,6.67,38.55,5.85,7.93
6,浜名湖,2,5,6.72,38.00,5.64,8.10
6,浜名湖,2,6,6.70,37.73,5.60,8.15
