venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
10,三国,1,1,6.79,36.58,5.42,6.68
10,三国,1,2,6.83,38.85,6.18,7.17
10,三国,1,3,6.77,37.75,5.7,6.78
10,三国,1,4,6.79,37.28,5.53,6.75
10,三国,1,5,6.86,37.5,5.63,6.75
10,三国,1,6,6.79,37.47,5.68,6.72
10,三国,2,1,6.75,36.8,5.52,6.72
10,三国,2,2,6.71,37.3,5.67,6.68
10,三国,2,3,6.76,37.42,5.77,6.75
10,三国,2,4,6.75,38.4,5.92,6.82
10,三国,2,5,6.76,37.72,6.07,6.7
10,三国,2,6,6.79,37.4,6.03,6.72
10,三国,3,1,6.84,37.57,5.73,6.8
10,三国,3,2,6.82,37.8,5.5,6.83
10,三国,3,3,6.81,37.7,5.95,6.82
10,三国,3,4,6.85,38.68,5.77,6.88
10,三国,3,5,6.75,37.15,5.53,6.75
10,三国,3,6,6.84,37.88,5.9,6.85
10,三国,4,1,6.89,37.27,5.62,6.75
10,三国,4,2,6.88,37.22,5.47,6.83
10,三国,4,3,6.88,37.23,5.67,6.87
10,三国,4,4,6.86,36.97,5.67,6.77
10,三国,4,5,6.78,37.3,5.77,6.78
10,三国,4,6,6.77,37.6,5.9,6.7
21,芦屋,1,1,6.73,35.84,7.49,7.57
21,芦屋,1,2,6.75,36.95,7.93,7.7
21,芦屋,1,3,6.73,36.95,7.88,7.66
21,芦屋,1,4,6.72,36.9,7.74,7.67
21,芦屋,1,5,6.71,37.06,7.81,7.72
21,芦屋,1,6,6.78,36.92,7.86,7.65
21,芦屋,2,1,6.76,36.56,7.7,7.74
21,芦屋,2,2,6.77,36.56,7.82,7.64
21,芦屋,2,3,6.83,36.68,7.75,7.57
21,芦屋,2,4,6.69,37.09,8.05,7.62
21,芦屋,2,5,6.77,37.0,8.02,7.74
21,芦屋,2,6,6.71,36.67,7.86,7.72
21,芦屋,3,1,6.76,36.87,8.0,7.64
21,芦屋,3,2,6.78,36.7,7.98,7.66
21,芦屋,3,3,6.81,36.78,7.76,7.68
21,芦屋,3,4,6.88,37.75,7.89,7.74
21,芦屋,3,5,6.8,37.62,8.19,7.77
21,芦屋,3,6,6.75,37.45,8.12,7.67
21,芦屋,4,1,6.74,36.97,7.78,7.7
21,芦屋,4,2,6.84,37.3,7.86,7.73
21,芦屋,4,3,6.76,37.32,7.97,7.67
21,芦屋,4,4,6.77,37.31,8.13,7.79
21,芦屋,4,5,6.79,37.24,8.07,7.78
21,芦屋,4,6,6.73,36.16,7.77,7.57
21,芦屋,5,1,6.72,36.64,7.76,7.64
21,芦屋,5,2,6.71,36.58,7.63,7.53
21,芦屋,5,3,6.76,37.23,7.95,7.7
21,芦屋,5,4,6.72,37.66,8.05,7.68
21,芦屋,5,5,6.78,37.32,7.89,7.76
21,芦屋,5,6,6.72,37.27,8.09,7.68
9,津,1,1,6.78,36.77,4.23,8.53
9,津,1,2,6.83,36.82,4.56,8.4
9,津,1,3,6.87,38.0,4.74,8.5
9,津,1,4,6.83,37.2,4.6,8.5
9,津,1,5,6.82,37.23,4.8,8.43
9,津,1,6,6.83,37.74,5.03,8.5
10,三国,5,1,6.89,38.13,5.93,6.87
10,三国,5,2,6.88,37.63,5.85,6.85
10,三国,5,3,6.83,38.0,5.95,6.87
10,三国,5,4,6.82,37.17,5.67,6.77
10,三国,5,5,6.89,37.38,5.9,6.8
10,三国,5,6,6.88,37.42,5.82,6.82
17,宮島,1,1,6.82,36.93,6.27,7.06
17,宮島,1,2,6.8,37.39,6.34,7.17
17,宮島,1,3,6.75,37.84,6.32,7.1
17,宮島,1,4,6.79,37.27,6.07,7.3
17,宮島,1,5,6.87,37.75,5.92,7.21
17,宮島,1,6,6.83,37.99,5.86,7.17
4,平和島,1,1,6.62,37.03,5.5,7.3
4,平和島,1,2,6.65,37.2,5.6,7.29
4,平和島,1,3,6.65,37.33,5.77,7.23
4,平和島,1,4,6.68,37.07,5.53,7.27
4,平和島,1,5,6.72,37.6,6.1,7.3
4,平和島,1,6,6.58,37.57,5.49,7.3
10,三国,6,1,6.82,37.57,5.88,6.83
10,三国,6,2,6.85,37.78,5.9,6.85
10,三国,6,3,6.79,37.8,5.75,6.77
10,三国,6,4,6.89,38.75,6.22,6.83
10,三国,6,5,6.92,37.63,5.88,6.83
10,三国,6,6,6.85,37.08,5.6,6.78
21,芦屋,6,1,6.74,36.66,7.7,7.69
21,芦屋,6,2,6.78,37.22,7.92,7.8
21,芦屋,6,3,6.78,37.05,7.89,7.62
21,芦屋,6,4,6.81,37.29,8.05,7.71
21,芦屋,6,5,6.85,37.48,8.12,7.8
21,芦屋,6,6,6.8,37.24,7.91,7.72
4,平和島,2,1,6.7,37.33,5.6,7.4
4,平和島,2,2,6.76,37.3,6.19,7.23
4,平和島,2,3,6.73,37.58,5.87,7.37
4,平和島,2,4,6.69,37.59,5.85,7.37
4,平和島,2,5,6.68,37.17,5.57,7.37
4,平和島,2,6,6.52,38.24,5.71,7.35
9,津,2,1,6.91,37.37,4.57,8.43
9,津,2,2,6.83,37.53,4.51,8.6
9,津,2,3,6.9,37.37,4.77,8.53
9,津,2,4,6.84,37.17,4.69,8.3
9,津,2,5,6.86,37.13,4.97,8.2
9,津,2,6,6.84,37.28,4.7,8.3
10,三国,7,1,6.82,37.48,6.03,6.9
10,三国,7,2,6.93,37.85,6.05,6.88
10,三国,7,3,6.95,39.03,6.33,7.03
10,三国,7,4,6.94,37.98,6.23,6.87
10,三国,7,5,6.77,37.43,5.75,6.82
10,三国,7,6,6.83,37.93,6.07,6.92
17,宮島,2,1,6.91,38.02,6.52,7.34
17,宮島,2,2,6.99,38.83,6.7,7.44
17,宮島,2,3,6.84,38.22,7.05,7.46
17,宮島,2,4,6.84,38.15,6.83,7.19
17,宮島,2,5,6.83,37.79,5.82,7.18
17,宮島,2,6,6.85,38.03,5.97,7.37
21,芦屋,7,1,6.76,36.76,7.75,7.6
21,芦屋,7,2,6.86,37.02,7.84,7.7
21,芦屋,7,3,6.76,37.22,7.94,7.7
21,芦屋,7,4,6.75,37.46,7.93,7.7
21,芦屋,7,5,6.78,36.82,7.84,7.65
21,芦屋,7,6,6.75,36.9,7.91,7.69
9,津,3,1,6.85,37.03,4.4,8.7
9,津,3,2,6.85,37.97,4.6,8.7
9,津,3,3,6.73,37.87,4.83,8.43
9,津,3,4,6.87,38.13,4.8,8.47
9,津,3,5,6.85,37.57,4.67,8.4
9,津,3,6,6.85,37.37,4.67,8.37
17,宮島,3,1,6.99,38.35,6.35,7.41
17,宮島,3,2,6.86,37.99,5.94,7.39
17,宮島,3,3,6.97,38.49,6.02,7.48
17,宮島,3,4,6.88,38.38,5.98,7.33
17,宮島,3,5,6.85,37.39,6.69,7.21
17,宮島,3,6,6.84,38.11,6.24,7.31
21,芦屋,8,1,6.73,36.98,7.76,7.75
21,芦屋,8,2,6.8,37.04,7.71,7.69
21,芦屋,8,3,6.8,36.79,7.86,7.71
21,芦屋,8,4,6.74,36.68,7.83,7.69
21,芦屋,8,5,6.74,37.22,8.2,7.63
21,芦屋,8,6,6.76,36.9,7.95,7.73
4,平和島,3,1,6.66,37.41,5.5,7.29
4,平和島,3,2,6.72,37.53,5.56,7.37
4,平和島,3,3,6.74,37.37,5.79,7.39
4,平和島,3,4,6.72,37.13,5.78,7.33
4,平和島,3,5,6.75,37.63,5.8,7.32
4,平和島,3,6,6.76,38.53,5.67,7.37
9,津,4,1,6.84,37.1,4.53,8.43
9,津,4,2,6.81,37.85,4.87,8.5
9,津,4,3,6.9,37.53,4.53,8.63
9,津,4,4,6.93,37.7,4.7,8.6
9,津,4,5,6.91,38.27,4.8,8.33
9,津,4,6,6.84,37.51,4.99,8.27
22,福岡,1,1,6.85,37.48,5.67,7.82
22,福岡,1,2,6.83,38.01,6.09,7.76
22,福岡,1,3,6.86,37.5,5.87,7.85
22,福岡,1,4,6.82,37.83,5.64,7.62
22,福岡,1,5,6.81,38.13,6.0,7.52
22,福岡,1,6,6.93,37.71,6.01,7.64
10,三国,8,1,6.95,38.27,6.08,6.87
10,三国,8,2,6.85,37.77,5.77,6.95
10,三国,8,3,6.83,39.82,6.45,6.92
10,三国,8,4,6.93,38.3,6.6,6.8
10,三国,8,5,6.89,38.07,5.77,6.88
10,三国,8,6,6.9,38.17,6.08,7.02
17,宮島,4,1,6.96,37.83,5.81,7.37
17,宮島,4,2,6.95,38.29,6.04,7.45
17,宮島,4,3,6.8,37.58,5.85,7.27
17,宮島,4,4,6.94,38.21,5.97,7.45
17,宮島,4,5,6.87,38.54,5.9,7.43
17,宮島,4,6,6.88,37.79,5.86,7.32
4,平和島,4,1,-.--,36.8,5.57,7.43
4,平和島,4,2,-.--,38.14,5.67,7.47
4,平和島,4,3,-.--,37.06,5.93,7.3
4,平和島,4,4,-.--,37.79,5.97,7.5
4,平和島,4,5,-.--,37.47,5.76,7.4
4,平和島,4,6,-.--,37.97,5.83,7.47
21,芦屋,9,1,6.73,36.38,7.7,7.64
21,芦屋,9,2,6.83,37.09,7.94,7.78
21,芦屋,9,3,6.85,37.41,8.16,7.77
21,芦屋,9,4,6.78,37.48,7.69,7.6
21,芦屋,9,5,6.81,37.39,8.26,7.73
21,芦屋,9,6,6.78,37.97,8.37,7.73
17,宮島,5,1,6.97,38.93,6.26,7.47
17,宮島,5,2,6.90,37.92,6.24,7.34
17,宮島,5,3,6.98,38.17,6.07,7.42
17,宮島,5,4,6.88,37.87,5.63,7.38
17,宮島,5,5,6.94,38.44,5.85,7.35
17,宮島,5,6,6.94,37.96,5.87,7.32
17,宮島,6,1,6.89,37.93,5.82,7.32
17,宮島,6,2,6.83,38.00,5.64,7.31
17,宮島,6,3,6.86,38.39,5.86,7.37
17,宮島,6,4,6.80,37.83,5.62,7.29
17,宮島,6,5,6.87,37.65,5.65,7.24
17,宮島,6,6,6.81,38.21,5.74,7.3
17,宮島,7,1,6.83,37.77,5.64,7.27
17,宮島,7,2,6.78,37.59,5.65,7.34
17,宮島,7,3,6.82,37.98,5.72,7.3
17,宮島,7,4,6.86,37.81,5.58,7.22
17,宮島,7,5,6.90,37.96,5.72,7.4
