venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
2,戸田,1,1,6.72,36.83,5.75,7.0
2,戸田,1,2,6.9,38.16,5.71,7.33
2,戸田,1,3,6.72,36.89,5.61,7.05
2,戸田,1,4,6.77,37.73,5.74,7.1
2,戸田,1,5,6.83,36.96,5.82,7.17
2,戸田,1,6,6.87,37.71,5.56,7.04
2,戸田,2,1,6.85,37.52,5.76,7.17
2,戸田,2,2,6.8,37.97,5.6,7.18
2,戸田,2,3,6.85,37.39,5.17,7.19
2,戸田,2,4,6.93,37.83,5.51,7.13
2,戸田,2,5,6.85,37.96,5.77,7.2
2,戸田,2,6,6.88,37.93,5.57,7.13
2,戸田,3,1,6.81,36.96,5.6,6.99
2,戸田,3,2,6.8,37.37,5.43,7.03
2,戸田,3,3,6.92,37.57,5.43,7.17
2,戸田,3,4,6.86,37.18,5.44,7.1
2,戸田,3,5,6.9,37.51,5.5,7.07
2,戸田,3,6,6.82,37.79,5.31,7.05
2,戸田,4,1,6.88,37.31,5.74,6.93
2,戸田,4,2,6.78,37.4,5.51,7.06
2,戸田,4,3,6.78,37.37,5.34,7.03
2,戸田,4,4,6.86,37.71,5.57,7.07
2,戸田,4,5,6.84,37.45,5.49,7.1
2,戸田,4,6,6.97,37.61,5.43,7.26
4,平和島,1,1,7.1,37.63,5.5,7.63
4,平和島,1,2,7.11,38.0,5.77,7.57
4,平和島,1,3,7.16,38.4,6.2,7.71
4,平和島,1,4,7.12,38.4,5.96,7.6
4,平和島,1,5,7.18,38.3,5.9,7.73
4,平和島,1,6,7.16,37.97,5.73,7.73
4,平和島,2,1,7.03,37.97,5.9,7.53
4,平和島,2,2,7.04,38.49,5.88,7.51
4,平和島,2,3,7.22,38.5,5.71,7.69
4,平和島,2,4,7.15,38.37,6.2,7.5
4,平和島,2,5,7.08,38.23,6.17,7.63
4,平和島,2,6,7.05,37.48,5.9,7.53
4,平和島,3,1,7.09,37.29,5.7,7.56
4,平和島,3,2,7.1,37.77,5.8,7.55
4,平和島,3,3,7.14,38.12,5.67,7.56
4,平和島,3,4,7.07,37.7,5.8,7.44
4,平和島,3,5,7.17,38.53,6.23,7.57
4,平和島,3,6,6.9,39.23,5.97,7.59
4,平和島,4,1,7.15,37.37,5.83,7.7
4,平和島,4,2,7.16,37.37,6.24,7.43
4,平和島,4,3,6.84,37.57,5.87,7.63
4,平和島,4,4,7.16,37.7,5.67,7.8
4,平和島,4,5,7.12,37.66,5.8,7.57
4,平和島,4,6,7.27,37.9,5.63,7.7
8,常滑,1,1,6.84,37.3,5.56,7.18
8,常滑,1,2,6.8,37.61,5.71,7.33
8,常滑,1,3,6.92,37.75,5.66,7.25
8,常滑,1,4,6.79,37.2,5.55,7.3
8,常滑,1,5,6.82,37.56,5.64,7.21
8,常滑,1,6,6.79,37.1,5.46,7.29
8,常滑,2,1,6.81,37.62,5.5,7.16
8,常滑,2,2,6.72,37.08,5.39,7.17
8,常滑,2,3,6.76,37.16,5.4,7.14
8,常滑,2,4,6.67,37.83,5.3,7.17
8,常滑,2,5,6.77,37.67,5.55,7.22
8,常滑,2,6,6.66,37.57,5.53,7.15
8,常滑,3,1,6.71,37.7,5.72,7.11
8,常滑,3,2,6.76,38.19,5.72,7.15
8,常滑,3,3,6.72,37.74,5.78,7.12
8,常滑,3,4,6.77,37.87,5.63,7.18
8,常滑,3,5,6.69,38.03,5.69,7.06
8,常滑,3,6,6.66,37.33,5.49,7.13
8,常滑,4,1,6.72,37.13,5.7,7.11
8,常滑,4,2,6.75,37.23,5.61,6.96
8,常滑,4,3,6.75,37.83,5.75,7.06
8,常滑,4,4,6.76,38.23,5.64,7.17
8,常滑,4,5,6.7,37.67,5.6,7.03
8,常滑,4,6,6.75,37.42,5.93,7.02
8,常滑,5,1,6.74,37.29,5.71,7.11
8,常滑,5,2,6.79,36.96,5.73,7.14
8,常滑,5,3,6.78,37.45,5.73,7.23
8,常滑,5,4,6.76,37.1,5.57,7.11
8,常滑,5,5,6.76,36.87,6.02,7.06
8,常滑,5,6,6.77,37.75,6.02,7.27
9,津,1,1,6.9,36.8,4.1,9.11
9,津,1,2,6.76,37.9,4.67,8.87
9,津,1,3,6.83,37.13,4.4,8.77
9,津,1,4,6.81,37.22,4.42,8.54
9,津,1,5,6.87,37.3,4.47,8.47
9,津,1,6,6.8,37.37,4.5,8.61
9,津,2,1,6.73,37.07,4.11,8.7
9,津,2,2,6.89,37.99,4.4,8.77
9,津,2,3,6.84,38.34,4.54,8.63
9,津,2,4,6.88,37.86,4.61,8.7
9,津,2,5,6.76,37.85,4.52,8.73
9,津,2,6,6.85,37.97,4.43,8.93
9,津,3,1,6.8,37.59,4.48,8.83
9,津,3,2,6.92,38.01,4.52,8.8
9,津,3,3,6.89,37.7,4.48,8.73
9,津,3,4,6.87,37.79,4.55,8.7
9,津,3,5,6.88,37.95,4.67,8.64
9,津,3,6,6.83,37.65,4.73,8.67
9,津,4,1,6.76,37.9,4.13,8.77
9,津,4,2,6.82,37.72,4.39,8.67
9,津,4,3,6.8,37.22,4.34,8.63
9,津,4,4,6.79,37.83,4.53,8.73
9,津,4,5,6.82,38.22,4.51,8.74
9,津,4,6,6.78,37.1,4.53,8.6
10,三国,1,1,6.65,36.47,5.47,6.73
10,三国,1,2,6.79,37.2,5.47,6.73
10,三国,1,3,6.91,38.08,5.95,6.85
10,三国,1,4,6.78,37.93,5.78,6.9
10,三国,1,5,6.81,37.12,5.68,6.8
10,三国,1,6,6.79,38.18,5.95,6.9
10,三国,2,1,6.77,36.57,5.95,6.65
10,三国,2,2,6.78,37.17,5.75,6.7
10,三国,2,3,6.75,38.0,5.93,6.9
10,三国,2,4,6.68,37.42,5.6,6.67
10,三国,2,5,6.7,36.97,5.73,6.72
10,三国,2,6,6.88,38.17,6.22,6.75
10,三国,3,1,6.7,37.13,5.63,6.73
10,三国,3,2,6.57,37.12,5.6,6.77
10,三国,3,3,6.77,37.63,5.75,6.8
10,三国,3,4,6.85,38.08,5.88,6.85
10,三国,3,5,6.78,38.05,5.98,6.8
10,三国,3,6,6.89,37.82,5.68,6.9
10,三国,4,1,6.78,37.07,5.58,6.68
10,三国,4,2,6.81,37.87,6.43,6.77
10,三国,4,3,6.87,38.62,6.17,6.85
10,三国,4,4,6.83,37.43,5.78,6.73
10,三国,4,5,6.85,37.48,5.73,6.87
10,三国,4,6,6.8,37.62,5.72,6.72
10,三国,5,1,6.77,36.62,5.47,6.73
10,三国,5,2,6.64,36.95,5.62,6.72
10,三国,5,3,6.79,37.23,5.63,6.73
10,三国,5,4,6.78,37.2,5.72,6.72
10,三国,5,5,6.77,37.1,5.68,6.8
10,三国,5,6,6.76,36.92,5.53,6.72
10,三国,6,1,6.75,37.1,5.7,6.75
10,三国,6,2,6.74,37.22,5.78,6.73
10,三国,6,3,6.8,37.47,5.77,6.77
10,三国,6,4,6.79,37.18,5.98,6.63
10,三国,6,5,6.7,37.02,5.82,6.67
10,三国,6,6,6.84,37.08,5.7,6.77
10,三国,7,1,6.77,37.08,5.4,6.78
10,三国,7,2,6.67,37.62,5.7,6.73
10,三国,7,3,6.63,37.45,5.68,6.73
10,三国,7,4,6.7,37.02,5.57,6.67
10,三国,7,5,6.76,37.17,5.55,7.12
10,三国,7,6,6.76,37.03,5.68,6.65
10,三国,8,1,6.68,36.92,5.55,6.67
10,三国,8,2,6.65,37.08,5.62,6.62
10,三国,8,3,6.67,36.93,5.4,6.62
10,三国,8,4,6.76,37.42,5.43,6.78
10,三国,8,5,6.85,37.5,5.63,6.72
10,三国,8,6,6.8,37.7,5.67,6.8
10,三国,9,1,6.68,36.98,5.58,6.6
10,三国,9,2,6.77,37.37,5.5,6.75
10,三国,9,3,6.61,36.85,5.58,6.6
10,三国,9,4,6.73,36.87,5.35,6.68
10,三国,9,5,6.54,36.87,5.12,6.7
10,三国,9,6,6.63,37.53,5.8,6.7
16,児島,1,1,6.85,37.73,5.73,6.83
16,児島,1,2,7.0,37.2,5.97,6.93
16,児島,1,3,6.99,37.13,5.83,6.93
16,児島,1,4,6.87,37.63,6.13,6.8
16,児島,1,5,6.93,37.57,5.87,6.9
16,児島,1,6,6.91,37.13,5.9,6.93
16,児島,2,1,6.67,36.53,5.9,6.53
