venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
2,戸田,1,1,6.77,36.63,5.50,6.98
2,戸田,1,2,6.89,37.27,5.50,7.02
2,戸田,1,3,6.82,36.84,5.36,7.03
2,戸田,1,4,6.77,37.03,5.40,6.91
2,戸田,1,5,6.69,37.37,5.43,7.03
2,戸田,1,6,6.82,37.50,5.63,6.97
2,戸田,2,1,6.82,37.19,5.42,6.87
2,戸田,2,2,6.87,37.16,5.30,7.07
2,戸田,2,3,6.74,36.64,5.46,6.93
2,戸田,2,4,6.84,36.89,5.37,7.07
2,戸田,2,5,6.66,37.48,5.58,7.18
2,戸田,2,6,6.79,37.18,5.41,7.00
2,戸田,3,1,6.81,36.72,5.53,6.97
2,戸田,3,2,6.72,37.06,5.50,7.03
2,戸田,3,3,6.73,36.71,5.80,6.75
2,戸田,3,4,6.87,37.91,6.13,7.10
2,戸田,3,5,6.70,38.83,6.36,6.83
2,戸田,3,6,6.74,36.89,5.73,6.93
2,戸田,4,1,6.84,36.93,5.37,7.00
2,戸田,4,2,6.84,36.61,5.28,6.97
2,戸田,4,3,6.72,37.80,5.47,7.03
2,戸田,4,4,6.82,37.73,5.34,7.17
2,戸田,4,5,6.76,37.32,5.19,7.04
2,戸田,4,6,6.83,37.11,5.36,7.07
2,戸田,5,1,6.75,36.72,5.59,6.87
2,戸田,5,2,6.79,37.01,5.63,6.97
2,戸田,5,3,6.70,37.07,5.33,7.07
2,戸田,5,4,6.85,36.87,5.34,7.07
2,戸田,5,5,6.80,37.17,5.44,7.16
2,戸田,5,6,6.77,37.82,5.31,7.13
2,戸田,6,1,6.70,37.14,5.83,6.87
2,戸田,6,2,6.76,36.77,5.67,6.82
2,戸田,6,3,6.71,37.83,5.93,6.92
2,戸田,6,4,6.71,37.40,5.67,7.03
2,戸田,6,5,6.81,37.20,5.63,7.17
2,戸田,6,6,6.81,36.99,5.33,7.00
2,戸田,7,1,6.78,37.18,5.66,6.80
2,戸田,7,2,6.78,37.03,5.57,6.83
2,戸田,7,3,6.75,37.60,5.25,6.97
2,戸田,7,4,6.76,37.71,5.56,6.98
2,戸田,7,5,6.89,37.97,5.30,7.18
2,戸田,7,6,6.60,37.28,6.20,6.90
2,戸田,8,1,6.74,37.06,5.23,6.93
2,戸田,8,2,6.73,36.79,5.46,6.90
2,戸田,8,3,6.82,37.52,5.47,7.05
2,戸田,8,4,6.83,38.11,5.73,7.17
2,戸田,8,5,6.81,37.01,5.43,7.05
2,戸田,8,6,6.95,38.31,5.60,7.17
2,戸田,9,1,6.76,37.37,5.43,6.88
2,戸田,9,2,6.71,38.30,5.63,6.90
2,戸田,9,3,6.79,37.24,5.30,7.07
2,戸田,9,4,6.77,37.39,5.25,6.95
2,戸田,9,5,6.85,37.78,5.40,7.10
2,戸田,9,6,6.75,37.57,5.43,7.04
2,戸田,10,1,6.70,37.26,5.19,6.93
2,戸田,10,2,6.72,37.37,5.30,7.03
2,戸田,10,3,6.79,37.57,5.85,6.83
2,戸田,10,4,6.82,37.53,5.44,6.93
2,戸田,10,5,6.80,37.27,5.32,6.93
2,戸田,10,6,6.80,37.18,5.46,6.93
2,戸田,11,1,6.81,36.75,5.59,6.90
2,戸田,11,2,6.77,36.93,5.97,6.83
2,戸田,11,3,6.77,36.73,5.63,6.92
2,戸田,11,4,6.78,37.11,6.00,6.93
2,戸田,11,5,6.75,36.84,5.69,6.90
2,戸田,11,6,6.74,36.94,5.83,7.01
2,戸田,12,1,6.66,36.76,5.03,6.98
2,戸田,12,2,6.79,37.00,5.20,6.97
2,戸田,12,3,6.78,36.60,5.43,6.90
2,戸田,12,4,6.79,37.09,5.23,6.97
2,戸田,12,5,6.69,37.00,5.37,6.83
2,戸田,12,6,6.81,36.71,5.39,6.90
5,多摩川,1,1,6.64,36.85,5.66,6.76
5,多摩川,1,2,6.68,37.40,5.62,7.01
5,多摩川,1,3,6.71,37.06,5.44,6.97
5,多摩川,1,4,6.69,36.83,5.80,6.89
5,多摩川,1,5,6.69,36.90,5.50,7.02
5,多摩川,1,6,6.74,37.39,5.67,6.92
5,多摩川,2,1,6.69,36.24,6.03,6.72
5,多摩川,2,2,6.69,37.29,6.25,6.69
5,多摩川,2,3,6.69,36.40,5.97,6.83
5,多摩川,2,4,6.71,37.04,6.06,6.81
5,多摩川,2,5,6.67,36.99,5.84,6.89
5,多摩川,2,6,6.73,37.25,5.55,7.03
5,多摩川,3,1,6.59,36.61,5.91,6.73
