venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
18,徳山,1,1,6.9,37.1,11.41,
18,徳山,1,2,6.9,37.54,11.7,
18,徳山,1,3,6.87,38.46,12.15,
18,徳山,1,4,7.03,38.44,12.03,
18,徳山,1,5,6.95,38.41,11.87,
18,徳山,1,6,6.95,38.26,12.17,
18,徳山,2,1,6.9,37.24,11.42,
18,徳山,2,2,6.93,37.81,11.67,
18,徳山,2,3,6.86,38.45,12.06,
18,徳山,2,4,6.91,38.09,11.85,
18,徳山,2,5,6.94,37.73,11.89,
18,徳山,2,6,6.88,37.83,11.57,
18,徳山,3,1,6.87,37.45,11.6,
18,徳山,3,2,7.03,37.6,11.69,
18,徳山,3,3,7.01,38.64,12.22,
18,徳山,3,4,7.01,38.63,12.17,
18,徳山,3,5,6.89,38.16,11.78,
18,徳山,3,6,6.99,38.49,11.78,
18,徳山,4,1,6.89,37.42,11.64,
18,徳山,4,2,6.81,37.26,11.68,
18,徳山,4,3,7.0,37.97,11.81,
18,徳山,4,4,6.93,37.79,11.85,
18,徳山,4,5,6.95,38.25,12.09,
18,徳山,4,6,6.93,38.06,11.74,
21,芦屋,1,1,6.75,36.39,7.48,7.65
21,芦屋,1,2,6.66,36.34,7.68,7.62
21,芦屋,1,3,6.72,36.77,7.76,7.65
21,芦屋,1,4,6.85,37.0,7.82,7.72
21,芦屋,1,5,6.74,36.61,7.67,7.65
21,芦屋,1,6,6.82,36.87,7.81,7.7
21,芦屋,2,1,6.67,36.63,7.82,7.6
21,芦屋,2,2,6.73,36.78,8.07,7.59
21,芦屋,2,3,6.73,37.03,7.76,7.58
21,芦屋,2,4,6.72,37.22,7.93,7.62
21,芦屋,2,5,6.62,36.81,8.0,7.64
21,芦屋,2,6,6.68,37.31,8.07,7.68
21,芦屋,3,1,6.8,36.34,7.67,7.61
21,芦屋,3,2,6.75,36.93,7.95,7.66
21,芦屋,3,3,6.79,36.63,7.82,7.72
21,芦屋,3,4,6.73,36.56,7.9,7.68
21,芦屋,3,5,6.75,36.47,7.7,7.68
21,芦屋,3,6,6.7,36.45,7.85,7.65
