venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
22,福岡,3,1,6.9,36.95,5.83,7.63
22,福岡,3,2,6.87,37.4,5.57,7.7
22,福岡,3,3,6.82,37.97,5.57,7.6
22,福岡,3,4,6.77,37.87,5.67,7.63
22,福岡,3,5,6.88,39.02,5.88,7.75
22,福岡,3,6,6.89,38.6,5.9,7.52
4,平和島,8,1,6.82,37.07,5.43,7.43
4,平和島,8,2,6.79,37.61,5.7,7.36
4,平和島,8,3,6.75,37.26,5.51,7.36
4,平和島,8,4,6.75,37.13,5.53,7.29
4,平和島,8,5,6.7,36.83,5.61,7.3
4,平和島,8,6,6.79,38.46,5.73,7.42
5,多摩川,7,1,6.7,36.72,5.84,6.7
5,多摩川,7,2,6.75,36.87,5.82,6.9
5,多摩川,7,3,6.82,37.24,5.6,6.87
5,多摩川,7,4,6.8,37.15,5.83,7.07
5,多摩川,7,5,6.72,37.16,5.72,6.9
5,多摩川,7,6,6.81,36.98,5.53,6.95
6,浜名湖,7,1,6.69,36.98,5.17,7.96
6,浜名湖,7,2,6.71,37.45,5.25,7.95
6,浜名湖,7,3,6.77,37.45,5.3,7.82
6,浜名湖,7,4,6.71,37.09,5.23,7.85
6,浜名湖,7,5,6.68,37.52,5.42,7.91
6,浜名湖,7,6,6.69,37.68,5.36,7.77
4,平和島,1,1,6.57,37.16,5.61,7.20
4,平和島,1,2,6.62,37.30,5.61,7.20
4,平和島,1,3,6.79,37.90,5.47,7.29
4,平和島,1,4,6.55,37.50,5.59,7.27
4,平和島,1,5,6.73,37.93,5.63,7.41
4,平和島,1,6,6.67,37.37,5.67,7.20
4,平和島,2,1,6.77,37.00,5.62,7.37
4,平和島,2,2,6.65,37.33,5.87,7.33
4,平和島,2,3,6.58,37.55,5.87,7.43
4,平和島,2,4,6.78,38.30,5.80,7.35
4,平和島,2,5,6.75,37.89,6.31,7.19
4,平和島,2,6,6.66,37.60,6.07,7.12
4,平和島,3,1,6.70,36.87,5.53,7.27
4,平和島,3,2,6.69,37.33,5.47,7.26
4,平和島,3,3,6.66,37.16,5.83,7.18
4,平和島,3,4,6.66,37.30,5.62,7.24
4,平和島,3,5,6.66,37.02,5.52,7.27
4,平和島,3,6,6.67,37.24,5.41,7.27
4,平和島,4,1,6.75,37.10,5.30,7.25
4,平和島,4,2,6.77,37.30,5.70,7.30
4,平和島,4,3,6.68,37.60,5.70,7.40
4,平和島,4,4,6.75,37.88,6.00,7.27
4,平和島,4,5,6.84,36.77,5.73,7.30
4,平和島,4,6,6.72,36.57,5.53,7.30
4,平和島,5,1,6.72,37.35,5.63,7.16
4,平和島,5,2,6.68,37.17,5.57,7.23
4,平和島,5,3,6.72,37.19,5.68,7.24
4,平和島,5,4,6.62,36.80,5.40,7.26
4,平和島,5,5,6.64,36.83,5.63,7.27
4,平和島,5,6,6.69,37.13,5.70,7.25
4,平和島,6,1,6.70,36.96,5.65,7.28
4,平和島,6,2,6.79,37.17,5.70,7.31
4,平和島,6,3,6.79,37.37,5.60,7.33
4,平和島,6,4,6.74,36.70,5.35,7.27
4,平和島,6,5,6.80,37.20,6.08,7.40
4,平和島,6,6,6.50,37.11,5.82,7.26
4,平和島,7,1,6.72,37.34,5.59,7.26
4,平和島,7,2,6.78,37.27,5.80,7.16
4,平和島,7,3,6.86,38.20,6.53,7.29
4,平和島,7,4,6.67,37.14,5.72,7.30
4,平和島,7,5,6.64,37.88,5.82,7.27
4,平和島,7,6,6.63,37.50,5.74,7.40
5,多摩川,1,1,6.78,36.85,5.80,6.82
5,多摩川,1,2,6.67,36.83,5.82,6.73
5,多摩川,1,3,6.74,36.77,5.65,6.92
5,多摩川,1,4,6.74,37.10,5.67,7.10
5,多摩川,1,5,6.67,37.20,5.71,6.87
5,多摩川,1,6,6.69,36.59,5.78,6.80
5,多摩川,2,1,6.70,36.53,5.89,6.64
5,多摩川,2,2,6.68,37.17,5.65,7.04
5,多摩川,2,3,6.74,37.24,5.84,6.97
5,多摩川,2,4,6.73,36.77,6.15,6.83
5,多摩川,2,5,6.72,36.86,5.73,6.96
5,多摩川,2,6,6.76,36.59,5.75,6.90
5,多摩川,3,1,6.58,36.55,5.72,6.67
5,多摩川,3,2,6.73,36.42,5.72,6.77
5,多摩川,3,3,6.71,37.43,5.67,6.97
5,多摩川,3,4,6.68,36.82,5.50,6.77
5,多摩川,3,5,6.66,37.32,5.52,6.85
5,多摩川,3,6,6.64,37.18,5.34,7.08
5,多摩川,4,1,6.57,36.74,6.04,6.68
5,多摩川,4,2,6.69,36.73,5.77,6.76
5,多摩川,4,3,6.60,36.87,5.87,6.97
5,多摩川,4,4,6.65,37.64,5.67,6.90
5,多摩川,4,5,6.72,37.45,5.85,6.89
5,多摩川,4,6,6.83,37.39,5.95,6.73
5,多摩川,5,1,6.78,37.32,6.27,6.93
5,多摩川,5,2,6.82,37.51,5.83,6.99
5,多摩川,5,3,6.80,37.60,5.84,7.13
5,多摩川,5,4,6.76,37.72,5.68,7.07
5,多摩川,5,5,6.72,36.41,5.69,6.93
5,多摩川,5,6,6.82,37.06,6.17,6.88
5,多摩川,6,1,6.69,36.69,6.00,6.63
5,多摩川,6,2,6.77,36.96,5.98,6.77
5,多摩川,6,3,6.74,37.30,5.87,6.77
5,多摩川,6,4,6.71,37.33,5.80,7.00
5,多摩川,6,5,6.74,37.00,5.80,6.96
5,多摩川,6,6,6.78,37.40,6.28,6.96
6,浜名湖,1,1,6.71,37.37,5.12,7.86
6,浜名湖,1,2,6.73,37.55,5.32,7.91
6,浜名湖,1,3,6.74,38.01,5.35,8.12
6,浜名湖,1,4,6.76,37.47,5.52,8.00
6,浜名湖,1,5,6.69,37.21,5.35,7.93
6,浜名湖,1,6,6.77,37.22,5.45,7.81
6,浜名湖,2,1,6.73,37.20,5.25,7.98
6,浜名湖,2,2,6.68,36.27,5.20,7.87
6,浜名湖,2,3,6.73,37.09,5.21,8.01
6,浜名湖,2,4,6.67,36.82,5.30,7.89
6,浜名湖,2,5,6.68,38.16,5.50,7.92
6,浜名湖,2,6,6.80,37.46,5.31,7.99
6,浜名湖,3,1,6.80,36.81,5.10,7.98
6,浜名湖,3,2,6.63,37.08,5.36,7.97
6,浜名湖,3,3,6.68,37.35,5.34,7.84
6,浜名湖,3,4,6.71,37.67,5.35,7.90
6,浜名湖,3,5,6.69,36.96,5.28,7.94
6,浜名湖,3,6,6.76,37.58,5.29,7.97
6,浜名湖,4,1,6.70,37.60,5.37,7.85
6,浜名湖,4,2,6.76,36.87,5.16,7.91
6,浜名湖,4,3,6.78,37.56,5.13,8.08
6,浜名湖,4,4,6.78,37.13,5.33,8.03
6,浜名湖,4,5,6.69,37.56,5.39,7.97
6,浜名湖,4,6,6.71,37.09,5.52,8.05
6,浜名湖,5,1,6.68,37.26,5.34,8.05
6,浜名湖,5,2,6.69,37.37,5.20,7.86
6,浜名湖,5,3,6.71,37.32,5.27,7.89
6,浜名湖,5,4,6.73,37.04,5.41,7.84
6,浜名湖,5,5,6.72,36.89,5.27,7.90
6,浜名湖,5,6,6.80,37.90,5.38,7.96
6,浜名湖,6,1,6.68,37.00,5.43,7.96
6,浜名湖,6,2,6.71,37.00,5.13,7.95
6,浜名湖,6,3,6.69,37.79,5.47,7.92
6,浜名湖,6,4,6.72,37.29,5.42,7.93
6,浜名湖,6,5,6.79,37.67,5.56,7.78
6,浜名湖,6,6,6.74,37.13,5.39,7.86
8,常滑,1,1,6.76,37.10,5.53,6.99
8,常滑,1,2,6.74,37.29,5.94,7.11
8,常滑,1,3,6.80,37.22,5.99,7.19
8,常滑,1,4,6.72,36.71,5.56,7.12
8,常滑,1,5,6.78,37.02,5.47,7.23
8,常滑,1,6,6.80,38.41,5.60,7.20
8,常滑,2,1,6.79,37.54,5.41,7.08
8,常滑,2,2,6.74,37.16,5.81,7.12
8,常滑,2,3,6.68,38.32,5.71,7.18
8,常滑,2,4,6.72,38.08,6.43,7.16
8,常滑,2,5,6.74,37.43,6.28,7.05
8,常滑,2,6,6.76,37.82,5.84,7.20
8,常滑,3,1,6.79,37.10,5.37,7.13
8,常滑,3,2,6.74,36.81,5.30,7.13
8,常滑,3,3,6.76,37.44,5.63,7.07
8,常滑,3,4,6.76,37.43,5.57,7.17
8,常滑,3,5,6.72,37.40,6.10,7.10
8,常滑,3,6,6.74,37.06,5.87,7.10
8,常滑,4,1,6.75,37.37,5.54,7.13
8,常滑,4,2,6.77,37.66,5.49,7.24
8,常滑,4,3,6.79,37.54,5.62,7.16
8,常滑,4,4,6.81,36.82,5.49,7.13
8,常滑,4,5,6.78,36.96,5.69,7.16
8,常滑,4,6,6.74,37.30,5.50,7.14
8,常滑,5,1,6.76,37.38,5.35,7.14
8,常滑,5,2,6.72,37.00,5.43,7.22
8,常滑,5,3,6.62,36.82,5.50,7.16
8,常滑,5,4,6.69,36.91,5.61,7.14
8,常滑,5,5,6.77,37.63,5.77,7.05
8,常滑,5,6,6.74,37.44,5.69,7.17
8,常滑,6,1,6.64,36.34,5.33,7.00
8,常滑,6,2,6.71,37.31,5.53,7.21
8,常滑,6,3,6.70,37.06,5.79,7.15
8,常滑,6,4,6.71,37.67,6.60,7.00
8,常滑,6,5,6.75,37.86,5.64,7.16
8,常滑,6,6,6.74,38.09,5.52,7.13
8,常滑,7,1,6.65,36.85,5.67,7.12
8,常滑,7,2,6.68,37.21,5.60,7.19
8,常滑,7,3,6.68,37.54,5.80,7.19
8,常滑,7,4,6.75,37.27,5.61,7.17
8,常滑,7,5,6.73,37.43,6.00,7.11
8,常滑,7,6,6.74,37.69,5.59,7.18
8,常滑,8,1,6.70,36.64,5.43,7.12
8,常滑,8,2,6.70,37.06,5.35,7.07
8,常滑,8,3,6.67,37.01,5.47,7.07
8,常滑,8,4,6.70,37.04,5.50,7.08
8,常滑,8,5,6.69,37.13,5.48,7.30
8,常滑,8,6,6.71,37.44,5.45,7.17
8,常滑,9,1,6.67,36.74,5.62,7.14
8,常滑,9,2,6.74,37.67,5.46,7.16
8,常滑,9,3,6.72,37.16,5.43,7.16
8,常滑,9,4,6.70,37.61,5.61,7.20
8,常滑,9,5,6.73,37.00,5.64,7.18
8,常滑,9,6,6.71,36.98,5.51,7.20
11,びわこ,1,1,6.77,37.57,6.03,8.20
11,びわこ,1,2,6.87,37.67,5.93,8.17
11,びわこ,1,3,6.77,37.43,5.80,8.10
11,びわこ,1,4,6.87,38.23,5.90,8.31
11,びわこ,1,5,6.80,37.98,5.79,7.97
11,びわこ,1,6,6.86,37.71,5.90,8.00
11,びわこ,2,1,6.83,37.60,5.80,8.08
11,びわこ,2,2,6.78,37.44,6.00,7.87
11,びわこ,2,3,6.81,37.70,6.07,7.90
11,びわこ,2,4,6.87,37.50,6.13,7.95
11,びわこ,2,5,6.84,37.83,6.07,7.90
11,びわこ,2,6,6.99,37.95,5.92,8.03
11,びわこ,3,1,6.78,37.17,5.57,7.93
11,びわこ,3,2,6.84,37.90,5.73,7.93
11,びわこ,3,3,6.99,37.77,6.18,7.93
11,びわこ,3,4,6.92,37.80,5.92,7.80
11,びわこ,3,5,6.92,37.86,6.23,7.74
11,びわこ,3,6,6.87,36.98,5.97,8.03
