venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
10,三国,1,1,6.78,36.67,5.37,6.67
10,三国,1,2,6.72,36.2,5.32,6.63
10,三国,1,3,6.83,37.27,5.77,6.7
10,三国,1,4,6.81,36.7,5.52,6.6
10,三国,1,5,6.76,36.95,5.62,6.72
10,三国,1,6,6.81,36.6,5.57,6.63
10,三国,2,1,6.71,36.85,5.58,6.73
10,三国,2,2,6.76,37.17,5.88,6.62
10,三国,2,3,6.79,37.47,6.02,6.7
10,三国,2,4,6.78,37.17,5.82,6.75
10,三国,2,5,6.88,37.85,6.17,6.85
10,三国,2,6,6.85,37.72,5.98,6.82
10,三国,3,1,6.77,37.33,5.6,6.7
10,三国,3,2,6.67,37.53,5.92,6.65
10,三国,3,3,6.77,36.87,5.58,6.65
10,三国,3,4,6.69,36.68,5.63,6.67
10,三国,3,5,6.85,37.03,5.77,6.67
10,三国,3,6,6.85,37.52,5.8,6.77
10,三国,4,1,6.78,37.45,5.7,6.65
10,三国,4,2,6.75,37.08,5.65,6.68
10,三国,4,3,6.74,37.47,6.02,6.6
10,三国,4,4,6.7,38.78,6.33,6.53
10,三国,4,5,6.74,38.03,5.98,6.68
10,三国,4,6,6.76,37.68,6.18,6.65
10,三国,5,1,6.78,37.37,6.08,6.72
10,三国,5,2,6.79,37.3,5.88,6.78
10,三国,5,3,6.85,37.8,5.95,6.97
10,三国,5,4,6.77,37.02,5.75,6.87
10,三国,5,5,6.96,37.63,5.93,6.8
10,三国,5,6,6.84,37.12,5.78,6.73
10,三国,6,1,6.99,37.45,5.9,6.82
10,三国,6,2,6.96,37.12,5.53,6.85
10,三国,6,3,6.93,37.25,5.7,6.77
10,三国,6,4,6.89,36.87,5.82,6.72
10,三国,6,5,6.93,37.28,5.98,6.77
10,三国,6,6,6.84,36.98,5.83,6.75
10,三国,7,1,6.87,36.55,5.6,6.7
10,三国,7,2,6.91,36.32,5.45,6.75
10,三国,7,3,6.87,37.67,5.98,6.83
10,三国,7,4,6.88,37.68,5.93,6.83
10,三国,7,5,6.82,37.4,6.02,6.7
10,三国,7,6,6.93,37.03,5.72,6.72
10,三国,8,1,6.99,37.65,5.88,6.88
10,三国,8,2,6.9,37.18,5.82,6.87
10,三国,8,3,6.88,37.68,6.02,6.93
10,三国,8,4,6.96,38.33,6.18,6.97
10,三国,8,5,6.88,37.18,5.88,6.7
