venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
18,徳山,1,1,6.94,37.33,11.58,
18,徳山,1,2,6.88,37.76,11.76,
18,徳山,1,3,6.99,37.87,11.96,
18,徳山,1,4,6.89,37.74,11.92,
18,徳山,1,5,6.95,37.32,11.7,
18,徳山,1,6,6.89,37.82,11.96,
18,徳山,2,1,6.88,37.6,11.51,
18,徳山,2,2,6.9,37.63,11.68,
18,徳山,2,3,6.92,38.15,11.76,
18,徳山,2,4,6.92,38.28,11.78,
18,徳山,2,5,6.97,38.5,12.14,
18,徳山,2,6,6.91,38.45,11.75,
21,芦屋,1,1,6.73,36.02,7.61,7.67
21,芦屋,1,2,6.72,36.5,7.77,7.64
21,芦屋,1,3,6.72,36.67,7.96,7.67
21,芦屋,1,4,6.76,36.38,7.68,7.66
21,芦屋,1,5,6.76,36.83,7.84,7.65
21,芦屋,1,6,6.73,36.8,8.02,7.67
21,芦屋,2,1,6.72,36.4,7.93,7.67
21,芦屋,2,2,6.74,36.71,7.93,7.66
21,芦屋,2,3,6.73,36.93,8.1,7.7
21,芦屋,2,4,6.7,36.7,7.86,7.66
21,芦屋,2,5,6.73,37.15,8.05,7.71
21,芦屋,2,6,6.7,36.96,8.11,7.6
18,徳山,3,1,6.9,37.45,11.55,
18,徳山,3,2,6.97,37.78,11.9,
18,徳山,3,3,7.0,37.98,11.88,
18,徳山,3,4,6.94,38.62,12.19,
18,徳山,3,5,7.01,37.67,11.68,
18,徳山,3,6,6.91,37.42,11.65,
21,芦屋,3,1,6.76,36.81,7.67,7.59
21,芦屋,3,2,6.76,36.83,7.87,7.75
21,芦屋,3,3,6.79,36.7,7.85,7.7
21,芦屋,3,4,6.75,36.92,7.94,7.66
21,芦屋,3,5,6.78,37.22,7.9,7.7
21,芦屋,3,6,6.78,37.55,8.24,7.71
18,徳山,4,1,6.93,37.85,11.7,
18,徳山,4,2,6.93,38.0,11.75,
18,徳山,4,3,6.89,37.57,11.65,
18,徳山,4,4,6.92,37.54,11.58,
18,徳山,4,5,7.05,37.97,11.74,
18,徳山,4,6,6.93,38.11,11.84,
21,芦屋,4,1,6.81,36.73,7.77,7.82
21,芦屋,4,2,6.74,36.19,7.76,7.61
21,芦屋,4,3,6.69,36.71,7.89,7.71
21,芦屋,4,4,6.79,36.49,7.73,7.72
21,芦屋,4,5,6.75,37.53,8.05,7.76
21,芦屋,4,6,6.67,36.8,7.99,7.56
4,平和島,1,1,6.94,37.18,5.54,7.47
4,平和島,1,2,7.01,37.09,5.63,7.58
4,平和島,1,3,6.95,37.46,5.78,7.57
4,平和島,1,4,6.83,37.66,5.79,7.42
4,平和島,1,5,7.02,36.9,6.02,7.58
4,平和島,1,6,6.94,36.95,5.69,7.5
4,平和島,2,1,6.99,37.24,5.53,7.48
4,平和島,2,2,6.95,37.0,5.67,7.4
4,平和島,2,3,6.99,37.53,5.77,7.49
4,平和島,2,4,6.86,37.38,5.89,7.39
4,平和島,2,5,6.99,37.48,5.7,7.46
4,平和島,2,6,6.94,37.5,6.09,7.43
6,浜名湖,1,1,6.7,36.91,5.16,7.96
6,浜名湖,1,2,6.73,37.19,5.31,7.98
6,浜名湖,1,3,6.75,37.85,5.77,7.93
6,浜名湖,1,4,6.71,37.81,5.86,7.84
6,浜名湖,1,5,6.76,38.6,5.7,7.89
6,浜名湖,1,6,6.83,37.79,5.69,7.98
8,常滑,1,1,6.8,36.96,5.65,7.03
8,常滑,1,2,6.78,37.49,5.78,7.06
8,常滑,1,3,6.79,38.02,5.74,7.17
8,常滑,1,4,6.76,37.73,5.57,7.29
8,常滑,1,5,6.8,37.44,5.63,7.15
8,常滑,1,6,6.74,37.29,5.54,7.11
8,常滑,2,1,6.79,37.12,5.84,7.04
8,常滑,2,2,6.73,36.91,5.56,7.05
8,常滑,2,3,6.73,36.87,5.53,7.09
8,常滑,2,4,6.74,37.42,5.62,7.14
8,常滑,2,5,6.78,36.96,5.5,7.2
8,常滑,2,6,6.73,37.23,5.47,7.12
8,常滑,3,1,6.71,37.3,5.4,7.14
