venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
10,三国,1,1,6.68,37.53,5.53,6.7
10,三国,1,2,6.69,37.72,5.67,6.62
10,三国,1,3,6.79,38.1,5.93,6.57
10,三国,1,4,6.69,37.75,5.77,6.77
10,三国,1,5,6.79,37.73,5.68,6.77
10,三国,1,6,6.67,37.17,5.53,6.63
10,三国,2,1,6.68,37.15,5.7,6.72
10,三国,2,2,6.71,37.32,5.77,6.67
10,三国,2,3,6.69,37.73,6.25,6.6
10,三国,2,4,6.73,38.53,6.1,6.72
10,三国,2,5,6.71,38.58,6.1,6.73
10,三国,2,6,6.75,37.85,5.82,6.77
10,三国,3,1,6.68,37.67,5.88,6.7
10,三国,3,2,6.67,37.6,5.85,6.62
10,三国,3,3,6.68,37.15,5.68,6.65
10,三国,3,4,6.68,38.18,6.28,6.58
10,三国,3,5,6.72,38.17,6.22,6.57
10,三国,3,6,6.77,37.58,5.63,6.72
21,芦屋,1,1,6.73,36.25,7.67,7.68
21,芦屋,1,2,6.78,37.12,8.01,7.74
21,芦屋,1,3,6.67,36.57,7.93,7.61
21,芦屋,1,4,6.83,37.2,8.11,7.7
21,芦屋,1,5,6.76,36.78,7.91,7.62
21,芦屋,1,6,6.91,37.03,7.91,7.75
21,芦屋,2,1,6.8,36.67,7.69,7.79
21,芦屋,2,2,6.8,37.68,7.89,7.64
21,芦屋,2,3,6.82,37.4,8.07,7.66
21,芦屋,2,4,6.75,36.93,7.87,7.72
21,芦屋,2,5,6.77,36.85,7.86,7.63
21,芦屋,2,6,6.78,37.33,8.13,7.78
21,芦屋,3,1,6.77,36.43,7.72,7.63
21,芦屋,3,2,6.71,36.96,7.94,7.71
21,芦屋,3,3,6.71,36.44,7.46,7.7
21,芦屋,3,4,6.71,36.8,8.04,7.72
21,芦屋,3,5,6.75,37.17,8.09,7.67
21,芦屋,3,6,6.8,37.33,8.1,7.63
23,唐津,1,1,6.66,36.33,5.0,7.57
23,唐津,1,2,6.75,37.2,5.2,7.87
23,唐津,1,3,6.75,37.42,5.67,7.7
23,唐津,1,4,6.62,37.54,5.67,7.8
23,唐津,1,5,6.67,37.3,5.5,7.7
23,唐津,1,6,6.73,36.97,5.67,7.5
23,唐津,2,1,6.66,37.23,5.37,8.0
23,唐津,2,2,6.7,37.5,5.43,7.9
23,唐津,2,3,6.69,36.8,5.63,7.87
23,唐津,2,4,6.73,37.03,5.6,7.73
23,唐津,2,5,6.68,37.5,5.5,7.73
23,唐津,2,6,6.73,37.37,5.57,7.7
23,唐津,3,1,6.71,37.17,5.27,7.67
23,唐津,3,2,6.63,36.97,5.6,7.8
23,唐津,3,3,6.67,37.13,5.27,7.73
23,唐津,3,4,6.73,37.47,5.3,7.83
23,唐津,3,5,6.72,36.63,5.23,7.77
23,唐津,3,6,6.75,37.0,5.23,7.67
21,芦屋,4,1,6.72,36.14,7.64,7.63
21,芦屋,4,2,6.81,36.96,7.94,7.72
21,芦屋,4,3,6.74,37.59,8.13,7.75
21,芦屋,4,4,6.72,36.81,7.9,7.69
21,芦屋,4,5,6.73,36.88,7.91,7.66
21,芦屋,4,6,6.77,36.84,7.86,7.66
23,唐津,4,1,6.71,36.73,5.17,7.83
23,唐津,4,2,6.71,37.27,5.67,7.6
23,唐津,4,3,6.79,37.37,5.47,7.83
23,唐津,4,4,6.75,37.53,5.7,7.73
23,唐津,4,5,6.75,38.17,5.57,7.7
23,唐津,4,6,6.66,36.93,5.57,7.63
10,三国,4,1,6.65,36.95,5.4,6.63
10,三国,4,2,6.67,37.98,5.83,6.6
10,三国,4,3,6.68,37.77,5.95,6.68
10,三国,4,4,6.66,37.72,5.57,6.77
10,三国,4,5,6.69,37.55,5.63,6.72
10,三国,4,6,6.73,37.13,5.62,6.67
21,芦屋,5,1,6.75,36.2,7.59,7.68
21,芦屋,5,2,6.82,37.19,7.65,7.81
21,芦屋,5,3,6.86,37.28,7.91,7.76
21,芦屋,5,4,6.72,37.08,8.07,7.65
21,芦屋,5,5,6.8,37.56,8.09,7.69
21,芦屋,5,6,6.78,37.03,7.99,7.7
8,常滑,1,1,6.64,36.84,5.51,7.06
8,常滑,1,2,6.8,38.01,5.64,7.29
8,常滑,1,3,6.74,37.55,5.48,7.25
8,常滑,1,4,6.73,38.56,5.7,7.23
8,常滑,1,5,6.74,37.86,5.5,7.28
8,常滑,1,6,6.74,37.17,5.56,7.2
23,唐津,5,1,6.67,36.34,5.2,7.73
23,唐津,5,2,6.68,37.13,5.27,7.77
23,唐津,5,3,6.67,38.07,5.53,7.87
23,唐津,5,4,6.71,37.2,5.33,7.8
23,唐津,5,5,6.73,37.13,5.43,7.87
23,唐津,5,6,6.66,37.47,5.8,7.67
9,津,1,1,6.81,36.4,4.47,8.47
9,津,1,2,6.79,37.19,4.77,8.33
9,津,1,3,6.89,37.35,4.75,8.63
9,津,1,4,6.81,37.53,4.73,8.43
9,津,1,5,6.84,36.67,4.63,8.4
9,津,1,6,6.79,37.37,4.9,8.63
