venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
4,平和島,1,1,6.79,36.52,5.68,7.34
4,平和島,1,2,6.87,37.67,5.81,7.36
4,平和島,1,3,6.95,37.93,5.83,7.57
4,平和島,1,4,6.97,37.17,5.4,7.42
4,平和島,1,5,6.95,36.97,5.49,7.43
4,平和島,1,6,6.97,38.35,5.85,7.53
4,平和島,2,1,6.83,36.72,5.56,7.37
4,平和島,2,2,6.85,36.8,5.57,7.4
4,平和島,2,3,6.9,37.13,5.43,7.41
4,平和島,2,4,6.94,38.1,5.84,7.54
4,平和島,2,5,6.89,37.82,5.89,7.4
4,平和島,2,6,6.93,38.13,5.87,7.57
4,平和島,3,1,6.88,36.87,5.77,7.57
4,平和島,3,2,7.04,37.33,5.63,7.56
4,平和島,3,3,6.83,37.47,6.17,7.37
4,平和島,3,4,6.97,37.16,5.61,7.43
4,平和島,3,5,7.03,37.87,5.87,7.63
4,平和島,3,6,6.91,37.03,5.7,7.51
4,平和島,4,1,6.92,37.55,5.45,7.62
4,平和島,4,2,6.93,37.75,5.63,7.53
4,平和島,4,3,6.92,37.47,5.77,7.53
4,平和島,4,4,6.82,38.0,5.8,7.45
4,平和島,4,5,6.82,36.77,5.5,7.38
4,平和島,4,6,6.81,37.41,5.7,7.44
4,平和島,5,1,6.98,36.97,5.65,7.45
4,平和島,5,2,6.99,37.8,5.73,7.61
4,平和島,5,3,6.98,37.73,5.76,7.47
4,平和島,5,4,6.98,38.07,5.82,7.56
4,平和島,5,5,7.12,38.1,5.93,7.56
4,平和島,5,6,7.1,38.43,6.1,7.6
4,平和島,6,1,7.03,37.56,5.54,7.49
4,平和島,6,2,6.89,37.81,5.69,7.51
4,平和島,6,3,7.02,37.97,5.73,7.57
4,平和島,6,4,7.04,38.47,5.95,7.77
4,平和島,6,5,6.9,38.07,5.77,7.6
4,平和島,6,6,7.04,38.27,6.0,7.73
4,平和島,7,1,6.93,37.84,5.63,7.63
4,平和島,7,2,6.9,37.94,5.63,7.63
4,平和島,7,3,6.92,37.9,5.63,7.6
