venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
<<<<<<< Updated upstream
2,戸田,1,1,6.76,36.64,5.33,7.10
2,戸田,1,2,6.79,37.20,5.57,7.03
2,戸田,1,3,6.65,37.01,5.44,7.03
2,戸田,1,4,6.76,37.47,5.48,7.10
2,戸田,1,5,6.83,37.40,5.33,7.08
2,戸田,1,6,6.81,37.47,5.50,7.20
2,戸田,2,1,6.79,37.23,5.40,7.10
=======
10,三国,1,1,6.82,36.8,5.6,6.75
10,三国,1,2,6.86,37.62,5.63,6.87
10,三国,1,3,6.73,36.68,5.42,6.73
10,三国,1,4,6.82,37.4,5.67,6.77
10,三国,1,5,6.84,37.83,5.8,6.85
10,三国,1,6,6.8,37.6,5.82,6.73
10,三国,2,1,6.8,36.77,5.55,6.83
10,三国,2,2,6.66,36.7,5.53,6.73
10,三国,2,3,6.77,37.28,5.62,6.98
10,三国,2,4,6.83,37.5,5.95,6.83
10,三国,2,5,6.89,38.93,6.7,6.92
10,三国,2,6,6.85,37.83,5.72,6.8
10,三国,3,1,6.81,37.42,5.65,6.77
10,三国,3,2,6.8,37.32,5.65,6.75
10,三国,3,3,6.82,37.43,5.65,6.8
10,三国,3,4,6.89,38.43,6.65,6.78
10,三国,3,5,6.79,37.6,5.9,6.83
10,三国,3,6,6.8,37.12,5.87,6.68
18,徳山,1,1,6.93,37.35,11.6,
18,徳山,1,2,6.91,37.62,11.91,
18,徳山,1,3,6.87,37.97,11.9,
18,徳山,1,4,6.97,38.11,12.09,
18,徳山,1,5,7.02,38.37,11.99,
18,徳山,1,6,7.07,38.43,11.9,
18,徳山,2,1,6.96,37.68,11.68,
18,徳山,2,2,6.97,37.52,11.71,
18,徳山,2,3,6.99,37.98,12.09,
18,徳山,2,4,7.04,37.7,11.74,
18,徳山,2,5,6.96,37.45,11.74,
18,徳山,2,6,7.04,38.05,11.95,
21,芦屋,1,1,6.81,36.25,7.89,7.65
21,芦屋,1,2,6.84,36.92,8.04,7.76
21,芦屋,1,3,6.83,37.48,8.2,7.8
21,芦屋,1,4,6.82,37.18,8.08,7.78
21,芦屋,1,5,6.89,37.35,7.92,7.86
21,芦屋,1,6,6.88,37.09,8.0,7.84
21,芦屋,2,1,6.92,37.27,8.25,7.75
21,芦屋,2,2,6.82,36.96,8.39,7.72
21,芦屋,2,3,6.88,37.32,8.17,7.78
21,芦屋,2,4,6.95,37.39,8.16,7.87
21,芦屋,2,5,6.89,37.65,8.28,7.76
21,芦屋,2,6,6.9,38.15,8.27,7.84
21,芦屋,3,1,6.89,36.64,7.96,7.76
21,芦屋,3,2,6.98,37.65,8.25,7.98
21,芦屋,3,3,6.89,37.07,7.99,7.79
21,芦屋,3,4,6.95,37.68,8.21,7.91
21,芦屋,3,5,6.85,36.89,7.95,7.8
21,芦屋,3,6,6.87,37.28,8.18,7.82
18,徳山,3,1,6.97,37.33,11.49,
18,徳山,3,2,7.03,37.83,11.77,
18,徳山,3,3,7.03,38.51,11.95,
18,徳山,3,4,7.03,38.11,11.88,
18,徳山,3,5,6.99,38.15,11.94,
18,徳山,3,6,6.96,38.4,12.1,
10,三国,4,1,6.72,36.83,5.53,6.7
10,三国,4,2,6.85,37.75,6.03,6.82
10,三国,4,3,6.88,38.07,5.93,6.83
10,三国,4,4,6.78,37.92,5.93,6.8
10,三国,4,5,6.84,37.33,5.9,6.73
