venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
1,桐生,1,1,6.59,18.66,4.46,7.43
1,桐生,1,2,6.69,18.73,4.37,7.38
1,桐生,1,3,6.69,18.56,4.66,7.51
1,桐生,1,4,6.60,18.32,4.50,7.51
1,桐生,1,5,6.65,18.33,4.38,7.44
1,桐生,1,6,6.58,18.14,4.49,7.48
1,桐生,2,1,6.76,18.50,4.57,7.55
1,桐生,2,2,6.76,18.39,4.34,7.58
1,桐生,2,3,6.65,18.42,4.56,7.32
1,桐生,2,4,6.65,18.25,4.47,7.46
1,桐生,2,5,6.59,18.22,4.42,7.50
1,桐生,2,6,6.76,18.27,4.42,7.47
1,桐生,3,1,6.68,18.23,4.38,7.50
1,桐生,3,2,6.82,18.41,4.68,7.60
1,桐生,3,3,6.67,18.39,4.64,7.46
1,桐生,3,4,6.72,18.41,4.52,7.62
1,桐生,3,5,6.86,18.24,4.50,7.29
1,桐生,3,6,6.81,18.38,4.70,7.53
1,桐生,4,1,6.60,18.63,4.38,7.46
1,桐生,4,2,6.76,18.30,4.26,7.51
1,桐生,4,3,6.68,18.29,4.30,7.39
1,桐生,4,4,6.71,18.46,4.39,7.48
1,桐生,4,5,6.77,18.68,4.46,7.43
1,桐生,4,6,6.62,18.37,4.68,7.44
1,桐生,5,1,6.84,18.60,4.38,7.54
1,桐生,5,2,6.78,18.42,4.60,7.62
1,桐生,5,3,6.83,18.89,4.47,7.60
1,桐生,5,4,6.71,18.43,4.43,7.54
1,桐生,5,5,6.72,18.60,4.37,7.71
1,桐生,5,6,6.90,18.98,4.55,7.58
1,桐生,6,1,6.63,18.38,4.12,7.27
1,桐生,6,2,6.70,18.54,4.30,7.61
1,桐生,6,3,6.65,18.62,4.56,7.61
1,桐生,6,4,6.79,18.45,4.66,7.70
1,桐生,6,5,6.68,18.49,4.70,7.56
1,桐生,6,6,6.75,18.62,4.56,7.51
1,桐生,7,1,6.62,18.70,4.71,7.36
1,桐生,7,2,6.56,18.55,4.50,7.53
1,桐生,7,3,6.58,18.85,4.40,7.69
1,桐生,7,4,6.70,18.70,4.63,7.63
1,桐生,7,5,6.75,18.95,4.90,7.51
1,桐生,7,6,6.66,18.30,4.58,7.56
1,桐生,8,1,6.74,18.84,4.68,7.49
1,桐生,8,2,6.66,18.86,4.80,7.49
1,桐生,8,3,6.60,18.70,4.55,7.51
1,桐生,8,4,6.67,19.14,4.49,7.60
1,桐生,8,5,6.60,18.53,4.42,7.45
1,桐生,8,6,6.68,18.50,4.63,7.43
1,桐生,9,1,6.72,18.46,4.48,7.42
1,桐生,9,2,6.74,18.41,4.49,7.51
1,桐生,9,3,6.70,18.74,4.49,7.35
1,桐生,9,4,6.81,18.70,4.40,7.50
1,桐生,9,5,6.80,18.76,4.42,7.57
1,桐生,9,6,6.82,18.23,4.42,7.57
1,桐生,10,1,6.72,18.62,4.55,7.48
1,桐生,10,2,6.66,18.98,4.82,7.49
1,桐生,10,3,6.80,18.86,4.57,7.41
1,桐生,10,4,6.76,18.62,4.57,7.54
1,桐生,10,5,6.77,18.31,4.58,7.43
1,桐生,10,6,6.72,18.24,4.35,7.43
1,桐生,11,1,6.69,18.49,4.40,7.19
1,桐生,11,2,6.80,18.26,4.58,7.26
1,桐生,11,3,6.73,18.38,4.32,7.42
1,桐生,11,4,6.70,18.32,4.70,7.45
1,桐生,11,5,6.65,18.77,4.60,7.38
1,桐生,11,6,6.78,18.66,4.74,7.42
1,桐生,12,1,6.66,18.28,4.31,7.43
1,桐生,12,2,6.66,18.34,4.31,7.50
1,桐生,12,3,6.62,18.17,4.25,7.42
1,桐生,12,4,6.71,18.96,4.51,7.68
1,桐生,12,5,6.70,18.75,4.45,7.40
1,桐生,12,6,6.74,18.50,4.26,7.54
4,平和島,1,1,6.72,36.88,5.57,7.30
4,平和島,1,2,6.70,36.85,5.82,7.30
4,平和島,1,3,6.75,36.60,5.37,7.23
4,平和島,1,4,6.70,36.77,5.47,7.39
4,平和島,1,5,6.77,37.87,5.87,7.43
4,平和島,1,6,6.80,37.00,5.54,7.36
4,平和島,2,1,6.74,36.77,5.50,7.39
4,平和島,2,2,6.77,36.87,5.63,7.34
4,平和島,2,3,6.66,37.41,5.67,7.34
4,平和島,2,4,6.79,38.13,5.44,7.36
4,平和島,2,5,6.75,37.67,5.68,7.16
4,平和島,2,6,6.82,38.33,5.83,7.37
4,平和島,3,1,6.73,36.73,5.30,7.40
4,平和島,3,2,6.74,37.00,5.55,7.27
4,平和島,3,3,6.72,37.23,5.68,7.37
4,平和島,3,4,6.71,36.57,5.43,7.37
4,平和島,3,5,6.80,37.63,5.66,7.40
4,平和島,3,6,6.91,37.29,5.60,7.38
4,平和島,4,1,6.77,36.87,5.43,7.37
4,平和島,4,2,6.79,37.67,5.70,7.40
4,平和島,4,3,6.75,37.30,5.70,7.37
4,平和島,4,4,6.72,36.47,5.50,7.37
4,平和島,4,5,6.80,38.07,5.53,7.37
4,平和島,4,6,6.71,38.03,6.37,7.37
4,平和島,5,1,6.74,36.77,5.41,7.34
4,平和島,5,2,6.70,36.88,5.59,7.41
4,平和島,5,3,6.80,37.23,5.93,7.41
4,平和島,5,4,6.82,37.80,5.75,7.36
4,平和島,5,5,6.80,38.22,5.67,7.36
4,平和島,5,6,6.81,37.61,5.79,7.34
4,平和島,6,1,6.68,36.60,5.40,7.34
4,平和島,6,2,6.86,37.23,5.47,7.41
4,平和島,6,3,6.91,37.37,5.87,7.55
