venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
21,芦屋,3,1,6.75,36.46,7.57,7.66
21,芦屋,3,2,6.83,36.94,7.92,7.73
21,芦屋,3,3,6.81,37.25,8.24,7.69
21,芦屋,3,4,6.76,36.94,8.13,7.65
21,芦屋,3,5,6.74,36.96,8.07,7.68
21,芦屋,3,6,6.73,37.52,8.22,7.69
21,芦屋,4,1,6.69,36.69,7.89,7.55
21,芦屋,4,2,6.69,36.24,7.66,7.58
21,芦屋,4,3,6.72,36.98,8.07,7.71
21,芦屋,4,4,6.83,36.33,7.68,7.67
21,芦屋,4,5,6.73,36.42,8.02,7.58
21,芦屋,4,6,6.77,36.77,8.08,7.65
21,芦屋,5,1,6.79,36.3,7.72,7.65
21,芦屋,5,2,6.76,36.48,7.95,7.6
21,芦屋,5,3,6.79,36.76,7.99,7.7
21,芦屋,5,4,6.81,36.69,7.77,7.69
21,芦屋,5,5,6.68,37.0,8.12,7.61
21,芦屋,5,6,6.83,36.66,7.81,7.72
21,芦屋,6,1,6.71,36.68,8.09,7.48
21,芦屋,6,2,6.73,36.57,8.04,7.48
21,芦屋,6,3,6.75,37.5,8.06,7.72
21,芦屋,6,4,6.73,37.11,8.42,7.57
21,芦屋,6,5,6.8,37.14,7.94,7.69
21,芦屋,6,6,6.75,36.73,7.97,7.61
21,芦屋,7,1,6.77,37.13,8.05,7.67
21,芦屋,7,2,6.76,36.73,7.89,7.65
21,芦屋,7,3,6.75,37.13,7.98,7.63
21,芦屋,7,4,6.79,37.58,8.11,7.58
21,芦屋,7,5,6.75,37.08,7.93,7.7
21,芦屋,7,6,6.76,37.34,7.89,7.73
21,芦屋,8,1,6.75,36.92,7.86,7.73
21,芦屋,8,2,6.82,37.19,8.32,7.65
21,芦屋,8,3,6.83,37.2,8.07,7.67
21,芦屋,8,4,6.85,37.65,7.98,7.78
21,芦屋,8,5,6.82,37.04,8.0,7.75
21,芦屋,8,6,6.82,37.16,7.96,7.69
21,芦屋,9,1,6.68,36.85,8.12,7.63
21,芦屋,9,2,6.76,36.45,7.78,7.67
21,芦屋,9,3,6.74,36.98,7.77,7.65
21,芦屋,9,4,6.83,37.19,7.97,7.7
