venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
21,芦屋,1,1,6.77,36.58,7.77,7.65
21,芦屋,1,2,6.76,37.19,7.8,7.66
21,芦屋,1,3,6.77,36.63,7.83,7.73
21,芦屋,1,4,6.79,37.16,8.0,7.64
21,芦屋,1,5,6.71,37.18,7.99,7.65
21,芦屋,1,6,6.76,36.72,7.8,7.67
23,唐津,1,1,6.66,36.4,5.13,7.8
23,唐津,1,2,6.72,36.87,5.27,7.83
23,唐津,1,3,6.76,37.5,5.4,7.87
23,唐津,1,4,6.81,38.23,5.4,8.0
23,唐津,1,5,6.71,37.47,5.57,7.8
23,唐津,1,6,6.74,37.57,5.43,7.77
16,児島,1,1,6.79,36.49,5.8,6.57
16,児島,1,2,6.86,37.13,5.8,6.77
16,児島,1,3,6.86,37.37,6.17,6.57
16,児島,1,4,6.83,37.1,6.23,6.77
16,児島,1,5,6.87,38.3,5.77,6.77
16,児島,1,6,6.89,37.45,6.02,6.53
16,児島,2,1,6.75,36.73,5.9,6.57
16,児島,2,2,6.74,37.43,5.77,6.73
16,児島,2,3,6.71,37.77,6.17,6.53
16,児島,2,4,6.67,37.13,5.63,6.73
16,児島,2,5,6.81,37.3,5.83,6.73
16,児島,2,6,6.8,37.47,5.53,6.8
8,常滑,7,1,6.77,37.42,5.43,7.24
8,常滑,7,2,6.81,37.97,5.59,7.23
8,常滑,7,3,6.82,38.68,5.35,7.24
8,常滑,7,4,6.84,38.23,5.69,7.38
8,常滑,7,5,6.79,37.98,5.58,7.37
8,常滑,7,6,6.78,37.32,5.61,7.27
8,常滑,8,1,6.82,37.48,5.4,7.26
8,常滑,8,2,6.87,37.88,5.64,7.22
8,常滑,8,3,6.84,38.3,5.6,7.24
8,常滑,8,4,6.83,38.1,6.6,7.11
8,常滑,8,5,6.84,38.0,5.56,7.33
8,常滑,8,6,6.89,37.47,5.74,7.27
8,常滑,9,1,6.8,37.18,5.79,7.25
8,常滑,9,2,6.8,37.33,5.54,7.28
8,常滑,9,3,6.81,37.27,5.66,7.27
8,常滑,9,4,6.8,37.7,5.69,7.22
8,常滑,9,5,6.83,38.17,5.93,7.35
8,常滑,9,6,6.71,37.01,5.89,7.2
8,常滑,10,1,6.75,37.07,5.26,7.19
8,常滑,10,2,6.81,37.17,5.39,7.35
8,常滑,10,3,6.8,37.48,5.35,7.37
8,常滑,10,4,6.79,37.54,5.66,7.21
8,常滑,10,5,6.77,37.31,5.32,7.19
8,常滑,10,6,6.75,37.57,5.87,7.19
8,常滑,11,1,6.75,37.65,5.5,7.22
8,常滑,11,2,6.81,37.26,5.5,7.3
8,常滑,11,3,6.8,37.31,5.48,7.28
8,常滑,11,4,6.77,37.8,5.48,7.27
8,常滑,11,5,6.71,37.17,5.36,7.18
8,常滑,11,6,6.79,37.27,5.26,7.23
8,常滑,12,1,6.8,37.39,5.6,7.28
8,常滑,12,2,6.75,37.54,5.81,7.26
8,常滑,12,3,6.84,37.73,5.74,7.15
8,常滑,12,4,6.81,37.69,5.76,7.36
8,常滑,12,5,6.81,37.92,6.0,7.29
8,常滑,12,6,6.89,38.3,5.81,7.44
9,津,1,1,6.79,36.49,4.71,8.47
9,津,1,2,6.81,37.47,4.47,8.6
9,津,1,3,6.82,37.4,4.5,8.47
9,津,1,4,6.85,37.11,4.69,8.47
9,津,1,5,6.92,36.93,4.6,8.43
9,津,1,6,6.82,36.8,4.47,8.58
9,津,2,1,6.79,37.03,4.47,8.55
9,津,2,2,6.81,37.0,4.64,8.38
9,津,2,3,6.84,37.47,4.87,8.47
9,津,2,4,6.87,37.66,4.64,8.33
9,津,2,5,6.82,37.17,4.57,8.47
9,津,2,6,6.72,38.27,4.97,8.57
9,津,3,1,6.76,37.27,4.6,8.37
9,津,3,2,6.78,37.9,4.83,8.37
9,津,3,3,6.81,37.33,4.77,8.27
9,津,3,4,6.84,37.89,5.17,8.37
9,津,3,5,6.84,37.53,5.07,8.23
9,津,3,6,6.84,37.22,5.04,8.37
9,津,4,1,6.86,37.43,4.67,8.53
9,津,4,2,6.83,37.87,4.67,8.37
9,津,4,3,6.86,38.07,4.67,8.4
9,津,4,4,6.86,37.73,4.93,8.47
9,津,4,5,6.71,38.16,4.74,8.63
9,津,4,6,6.8,37.53,4.93,8.67
9,津,5,1,6.88,37.5,4.57,8.77
9,津,5,2,6.8,37.56,4.74,8.53
9,津,5,3,6.91,37.9,4.53,8.7
9,津,5,4,6.95,38.14,4.99,8.47
9,津,5,5,6.76,37.59,4.84,8.47
9,津,5,6,6.72,37.0,4.7,8.4
9,津,6,1,6.91,37.7,4.63,8.55
9,津,6,2,6.88,37.6,4.83,8.3
9,津,6,3,6.87,36.98,4.81,8.37
9,津,6,4,6.86,37.34,4.77,8.43
9,津,6,5,6.8,36.8,4.63,8.47
9,津,6,6,6.93,38.3,5.07,8.77
9,津,7,1,6.92,36.93,4.77,8.37
9,津,7,2,6.84,37.09,4.85,8.23
9,津,7,3,6.9,37.66,5.14,8.53
9,津,7,4,6.81,38.62,5.5,8.7
9,津,7,5,6.86,37.91,4.96,8.6
9,津,7,6,6.88,37.5,4.97,8.48
9,津,8,1,6.78,37.16,4.37,8.67
9,津,8,2,6.84,37.58,4.47,8.53
9,津,8,3,6.85,37.77,4.63,8.5
9,津,8,4,6.82,37.77,4.7,8.7
9,津,8,5,6.88,37.67,4.53,8.5
9,津,8,6,6.85,37.54,4.55,8.6
9,津,9,1,6.77,37.57,4.6,8.43
9,津,9,2,6.83,38.23,4.64,8.37
9,津,9,3,6.83,37.53,4.8,8.43
9,津,9,4,6.89,38.14,4.53,8.67
9,津,9,5,6.84,37.64,4.82,8.39
9,津,9,6,6.87,37.8,4.93,8.4
9,津,10,1,6.74,36.87,4.4,8.57
9,津,10,2,6.8,37.91,4.87,8.5
9,津,10,3,6.84,37.77,4.69,8.63
9,津,10,4,6.85,37.26,4.62,8.53
9,津,10,5,6.89,37.57,4.67,8.47
9,津,10,6,6.8,37.47,4.7,8.27
9,津,11,1,6.72,37.13,4.43,8.49
9,津,11,2,6.73,37.27,4.53,8.53
9,津,11,3,6.82,37.08,4.59,8.43
9,津,11,4,6.83,37.3,4.73,8.47
