venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
2,戸田,1,1,6.51,36.57,5.23,6.87
2,戸田,1,2,6.58,36.67,5.53,7.0
2,戸田,1,3,6.5,36.74,5.36,6.9
2,戸田,1,4,6.56,37.63,5.44,7.06
2,戸田,1,5,6.56,37.85,5.28,7.07
2,戸田,1,6,6.52,38.35,5.58,7.04
2,戸田,2,1,6.59,37.9,6.0,6.95
2,戸田,2,2,6.62,36.42,5.69,6.86
2,戸田,2,3,6.58,37.29,5.7,7.05
2,戸田,2,4,6.67,37.08,6.1,6.9
2,戸田,2,5,6.56,37.07,5.81,6.97
2,戸田,2,6,6.57,37.2,5.59,7.0
2,戸田,3,1,6.53,36.74,5.44,6.87
2,戸田,3,2,6.58,37.81,5.3,6.97
2,戸田,3,3,6.63,37.91,5.5,7.13
2,戸田,3,4,6.6,38.37,5.73,7.17
2,戸田,3,5,6.53,37.45,5.47,6.96
2,戸田,3,6,6.6,37.64,5.3,7.05
2,戸田,4,1,6.56,36.67,5.61,6.76
2,戸田,4,2,6.53,37.38,7.97,7.67
2,戸田,4,3,6.5,36.54,5.44,6.96
2,戸田,4,4,6.61,37.92,5.58,6.91
2,戸田,4,5,6.53,37.42,5.56,6.97
2,戸田,4,6,6.56,37.64,5.56,7.0
2,戸田,5,1,6.58,37.14,5.92,6.87
2,戸田,5,2,6.5,36.94,5.73,6.93
2,戸田,5,3,6.52,38.27,5.98,6.96
2,戸田,5,4,6.5,36.94,5.42,7.03
2,戸田,5,5,6.51,37.16,5.49,6.88
2,戸田,5,6,6.53,37.45,5.72,6.97
2,戸田,6,1,6.5,36.47,5.7,6.87
2,戸田,6,2,6.58,36.5,5.21,7.06
2,戸田,6,3,6.5,36.82,5.4,6.93
2,戸田,6,4,6.65,36.93,5.49,6.97
2,戸田,6,5,6.57,36.89,5.51,6.9
2,戸田,6,6,6.56,37.33,5.77,7.1
2,戸田,7,1,6.57,36.99,5.41,6.83
2,戸田,7,2,6.52,37.13,5.19,7.02
2,戸田,7,3,6.59,37.71,5.69,6.87
2,戸田,7,4,6.66,36.68,5.46,6.9
2,戸田,7,5,6.67,38.0,6.22,6.97
2,戸田,7,6,6.67,37.33,5.57,7.0
2,戸田,8,1,6.58,37.64,5.63,7.1
2,戸田,8,2,6.5,37.15,5.33,6.97
2,戸田,8,3,6.58,37.33,5.3,7.02
2,戸田,8,4,6.55,37.83,5.51,7.0
2,戸田,8,5,6.63,38.34,5.57,7.1
2,戸田,8,6,6.5,37.69,5.45,7.03
2,戸田,9,1,6.58,36.79,5.43,6.9
2,戸田,9,2,6.63,36.84,5.99,6.73
2,戸田,9,3,6.62,37.18,5.7,6.9
2,戸田,9,4,6.6,36.7,5.52,6.93
2,戸田,9,5,6.61,37.53,5.77,6.97
2,戸田,9,6,6.53,37.2,5.5,7.07
5,多摩川,1,1,6.62,36.28,5.9,6.76
5,多摩川,1,2,6.65,36.7,5.91,6.81
5,多摩川,1,3,6.72,37.43,5.97,6.91
5,多摩川,1,4,6.62,36.57,5.44,6.9
5,多摩川,1,5,6.68,37.15,5.67,7.08
5,多摩川,1,6,6.69,36.57,5.57,6.86
5,多摩川,2,1,6.59,37.09,5.68,6.88
5,多摩川,2,2,6.63,36.83,6.0,6.83
5,多摩川,2,3,6.74,37.07,5.84,6.81
5,多摩川,2,4,6.66,37.0,6.03,6.87
5,多摩川,2,5,6.72,36.91,6.62,7.14
5,多摩川,2,6,6.66,37.33,6.07,6.78
5,多摩川,3,1,6.67,37.1,6.27,6.56
5,多摩川,3,2,6.73,37.53,5.99,6.9
5,多摩川,3,3,6.71,36.97,6.1,6.81
5,多摩川,3,4,6.68,37.49,6.21,7.02
5,多摩川,3,5,6.71,37.53,6.13,6.87
5,多摩川,3,6,6.76,37.09,5.67,7.31
5,多摩川,4,1,6.67,36.8,5.71,6.97
5,多摩川,4,2,6.7,36.96,6.54,6.7
5,多摩川,4,3,6.79,37.09,6.17,7.03
5,多摩川,4,4,6.77,36.7,5.67,6.98
5,多摩川,4,5,6.69,37.04,5.79,6.94
5,多摩川,4,6,6.71,36.5,5.45,6.87
5,多摩川,5,1,6.76,36.88,5.71,7.0
5,多摩川,5,2,6.69,36.9,5.83,6.83
5,多摩川,5,3,6.69,37.02,5.84,6.87
5,多摩川,5,4,6.8,36.82,5.91,6.94
5,多摩川,5,5,6.77,37.23,6.11,7.03
5,多摩川,5,6,6.77,37.84,6.01,7.0
5,多摩川,6,1,6.61,37.27,5.73,6.74
5,多摩川,6,2,6.72,37.5,5.9,6.77
5,多摩川,6,3,6.66,37.4,6.01,6.84
5,多摩川,6,4,6.57,37.44,6.15,6.93
5,多摩川,6,5,6.7,37.77,5.67,6.8
5,多摩川,6,6,6.68,37.5,5.67,7.0
5,多摩川,7,1,6.68,36.99,5.8,6.87
5,多摩川,7,2,6.74,37.46,5.78,6.87
5,多摩川,7,3,6.65,37.25,5.72,6.92
5,多摩川,7,4,6.64,36.86,5.47,6.89
5,多摩川,7,5,6.8,37.15,5.66,7.02
5,多摩川,7,6,6.67,37.14,5.78,6.91
6,浜名湖,1,1,6.62,36.4,5.13,7.92
6,浜名湖,1,2,6.64,37.42,5.34,7.96
6,浜名湖,1,3,6.61,36.88,5.36,8.02
6,浜名湖,1,4,6.56,37.39,5.36,7.82
6,浜名湖,1,5,6.66,36.79,5.19,7.91
6,浜名湖,1,6,6.64,36.85,5.36,7.88
6,浜名湖,2,1,6.59,37.42,5.25,7.88
6,浜名湖,2,2,6.53,37.47,5.44,7.85
6,浜名湖,2,3,6.65,38.14,5.31,7.98
6,浜名湖,2,4,6.59,37.8,5.39,7.83
6,浜名湖,2,5,6.69,38.0,5.45,8.03
6,浜名湖,2,6,6.64,37.44,5.51,7.77
6,浜名湖,3,1,6.63,36.63,5.01,7.78
6,浜名湖,3,2,6.61,36.62,5.12,8.0
6,浜名湖,3,3,6.62,36.84,5.13,7.92
6,浜名湖,3,4,6.63,37.37,5.5,7.92
6,浜名湖,3,5,6.64,38.49,5.5,8.0
6,浜名湖,3,6,6.65,37.5,5.27,7.87
6,浜名湖,4,1,6.66,36.88,5.38,7.97
6,浜名湖,4,2,6.59,37.02,5.35,7.93
6,浜名湖,4,3,6.62,37.33,5.24,7.95
6,浜名湖,4,4,6.61,37.25,5.19,7.83
6,浜名湖,4,5,6.63,37.54,5.32,8.03
6,浜名湖,4,6,6.68,37.01,5.35,8.1
6,浜名湖,5,1,6.69,36.93,5.27,7.85
6,浜名湖,5,2,6.61,36.86,5.22,7.85
6,浜名湖,5,3,6.6,37.02,5.04,7.91
6,浜名湖,5,4,6.66,37.6,5.3,7.85
6,浜名湖,5,5,6.59,36.67,5.29,7.82
6,浜名湖,5,6,6.67,37.22,5.43,7.9
6,浜名湖,6,1,6.68,37.27,5.38,7.91
6,浜名湖,6,2,6.68,37.1,5.04,7.88
6,浜名湖,6,3,6.7,37.18,5.25,7.75
6,浜名湖,6,4,6.63,37.39,5.42,7.84
6,浜名湖,6,5,6.65,37.12,5.32,7.92
6,浜名湖,6,6,6.68,37.0,5.25,7.93
6,浜名湖,7,1,6.66,37.34,5.22,7.88
6,浜名湖,7,2,6.63,37.07,5.23,8.06
6,浜名湖,7,3,6.74,37.88,5.42,8.01
6,浜名湖,7,4,6.66,37.29,5.31,7.88
6,浜名湖,7,5,6.76,37.33,5.23,8.05
6,浜名湖,7,6,6.67,37.71,5.56,7.96
6,浜名湖,8,1,6.61,36.75,5.12,7.89
6,浜名湖,8,2,6.68,37.65,5.47,7.99
6,浜名湖,8,3,6.68,37.44,5.68,7.82
6,浜名湖,8,4,6.68,36.77,5.56,7.86
6,浜名湖,8,5,6.65,37.17,5.63,7.95
6,浜名湖,8,6,6.68,37.66,5.32,8.09
8,常滑,1,1,6.73,36.2,5.37,7.16
8,常滑,1,2,6.73,36.81,5.52,7.3
8,常滑,1,3,6.73,37.26,5.8,7.12
8,常滑,1,4,6.74,37.88,5.7,7.24
8,常滑,1,5,6.74,37.48,5.56,7.2
8,常滑,1,6,6.74,37.55,5.56,7.24
8,常滑,2,1,6.62,36.5,5.2,7.03
8,常滑,2,2,6.74,36.97,5.71,7.11
