venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
4,平和島,1,1,6.97,37.37,5.68,7.61
4,平和島,1,2,7.02,38.07,5.80,7.57
4,平和島,1,3,6.90,38.03,5.67,7.67
4,平和島,1,4,6.91,37.93,5.77,7.51
4,平和島,1,5,6.96,37.80,5.60,7.58
4,平和島,1,6,6.87,37.65,5.57,7.50
4,平和島,2,1,6.93,37.93,5.71,7.67
4,平和島,2,2,6.88,37.50,5.70,7.60
4,平和島,2,3,6.89,37.77,5.84,7.56
4,平和島,2,4,6.96,37.97,5.82,7.55
4,平和島,2,5,6.95,37.89,5.77,7.60
4,平和島,2,6,6.89,37.38,5.83,7.50
4,平和島,3,1,6.99,38.63,5.57,7.66
4,平和島,3,2,7.03,38.73,5.90,7.63
4,平和島,3,3,7.02,38.40,6.03,7.57
4,平和島,3,4,6.99,37.90,5.87,7.63
4,平和島,3,5,6.93,37.80,5.73,7.55
4,平和島,3,6,6.99,37.93,5.63,7.60
4,平和島,4,1,6.86,37.77,5.63,7.59
4,平和島,4,2,6.79,37.70,6.00,7.50
4,平和島,4,3,6.88,37.83,5.63,7.60
4,平和島,4,4,6.78,38.43,5.70,7.53
4,平和島,4,5,6.87,38.20,5.67,7.57
4,平和島,4,6,6.92,38.23,5.80,7.60
4,平和島,5,1,7.09,37.13,5.50,7.71
4,平和島,5,2,7.18,38.24,5.47,7.63
4,平和島,5,3,7.13,38.33,5.90,7.70
4,平和島,5,4,7.08,38.47,5.73,7.80
4,平和島,5,5,7.01,37.90,5.87,7.60
4,平和島,5,6,7.04,38.25,5.79,7.67
4,平和島,6,1,7.07,38.43,5.80,7.77
4,平和島,6,2,7.09,38.75,5.93,7.63
4,平和島,6,3,7.04,38.17,5.74,7.57
4,平和島,6,4,6.98,38.70,5.97,7.70
4,平和島,6,5,6.99,38.40,5.77,7.80
4,平和島,6,6,6.95,37.50,5.67,7.77
4,平和島,7,1,6.97,38.22,5.67,7.60
4,平和島,7,2,6.97,38.03,5.57,7.60
